group	len	dose
BC	62.94503	IL-4
BC	63.93129	IL-4
BC	64.92365	IL-4
BC	71.43382	IL-4
BC	69.48899	IL-4
BC	70.25677	IL-4
BC	71.39248	IL-4
BC	68.56842	IL-4
BC	69.49765	IL-4
BC	70.32788	IL-4
BC	71.32212	IL-4
BC	69.73821	IL-4
MC	95.94198	IL-4
MC	96.93129	IL-4
MC	97.24234	IL-4
MC	95.64565	IL-4
MC	99.26977	IL-4
MC	101.889	IL-4
MC	96.89532	IL-4
MC	99.65421	IL-4
MC	100.8543	IL-4
MC	101.7854	IL-4
MC	98.48402	IL-4
MC	97.89823	IL-4
PP	30.00305	IL-4
PP	29.61842	IL-4
PP	39.63063	IL-4
PP	42.97557	IL-4
PP	46.69171	IL-4
PP	34.11162	IL-4
PP	32.67644	IL-4
PP	39.34578	IL-4
PP	40.2393	IL-4
PP	41.96543	IL-4
PP	40.58943	IL-4
PP	41.58594	IL-4
PT	49.96488	IL-4
PT	43.96488	IL-4
PT	42.06581	IL-4
PT	38.97404	IL-4
PT	49.90533	IL-4
PT	53.94197	IL-4
PT	58.47422	IL-4
PT	59.24364	IL-4
PT	53.55646	IL-4
PT	52.5622	IL-4
PT	55.43216	IL-4
PT	56.98642	IL-4
AT	34.94656	IL-4
AT	30.94656	IL-4
AT	26.94503	IL-4
AT	28.94197	IL-4
AT	32.56842	IL-4
AT	38.56834	IL-4
AT	36.75321	IL-4
AT	33.89056	IL-4
AT	42.78432	IL-4
AT	45.54777	IL-4
AT	35.78642	IL-4
AT	31.67466	IL-4
APT	26.9038	IL-4
APT	23.93282	IL-4
APT	29.92518	IL-4
APT	31	IL-4
APT	22.49242	IL-4
APT	21.40483	IL-4
APT	23.48593	IL-4
APT	24.75421	IL-4
APT	20.6543	IL-4
APT	23.87645	IL-4
APT	24.73424	IL-4
APT	25.66432	IL-4
