group	len	dose
BC	74.09582	IFN-γ
BC	74.08789	IFN-γ
BC	74.59502	IFN-γ
BC	73.11008	IFN-γ
BC	72.88947	IFN-γ
BC	71.11008	IFN-γ
BC	76.48536	IFN-γ
BC	73.28472	IFN-γ
BC	74.53829	IFN-γ
BC	73.12894	IFN-γ
BC	75.49242	IFN-γ
BC	77.48292	IFN-γ
MC	6.09582	IFN-γ
MC	8.09819	IFN-γ
MC	9.090268	IFN-γ
MC	11.4936	IFN-γ
MC	8.07204	IFN-γ
MC	8.39284	IFN-γ
MC	9.46852	IFN-γ
MC	9.38406	IFN-γ
MC	11.49693	IFN-γ
MC	7.38593	IFN-γ
MC	8.47388	IFN-γ
MC	9.37293	IFN-γ
PP	19.10216	IFN-γ
PP	27.45148	IFN-γ
PP	28.24246	IFN-γ
PP	37.67696	IFN-γ
PP	29.35423	IFN-γ
PP	28.23537	IFN-γ
PP	27.23567	IFN-γ
PP	25.23907	IFN-γ
PP	24.12789	IFN-γ
PP	25.32678	IFN-γ
PP	25.24905	IFN-γ
PP	28.59485	IFN-γ
PT	23.24208	IFN-γ
PT	22.45395	IFN-γ
PT	14.25533	IFN-γ
PT	19.09582	IFN-γ
PT	23.67893	IFN-γ
PT	23.2578	IFN-γ
PT	14.56178	IFN-γ
PT	21.09423	IFN-γ
PT	23.95309	IFN-γ
PT	22.09423	IFN-γ
PT	23.95309	IFN-γ
PT	21.98736	IFN-γ
AT	34.43542	IFN-γ
AT	38.2357	IFN-γ
AT	37.56397	IFN-γ
AT	29.13451	IFN-γ
AT	38.34594	IFN-γ
AT	27.43202	IFN-γ
AT	37.26892	IFN-γ
AT	30.36795	IFN-γ
AT	32.54857	IFN-γ
AT	31.59485	IFN-γ
AT	29.67834	IFN-γ
AT	32.43257	IFN-γ
APT	42.32008	IFN-γ
APT	44.36721	IFN-γ
APT	45.36791	IFN-γ
APT	46.35678	IFN-γ
APT	43.56758	IFN-γ
APT	45.83459	IFN-γ
APT	47.45647	IFN-γ
APT	47.13458	IFN-γ
APT	44.56673	IFN-γ
APT	42.09582	IFN-γ
APT	46.08789	IFN-γ
APT	47.59502	IFN-γ
