group	len	dose
BC	27.58282	IL-2
BC	35.2562	IL-2
BC	33.50049	IL-2
BC	36.37342	IL-2
BC	43.23114	IL-2
BC	34.34545	IL-2
BC	29.34566	IL-2
BC	31.45789	IL-2
BC	32.46801	IL-2
BC	37.12804	IL-2
BC	35.658	IL-2
BC	31.90875	IL-2
MC	10.31347	IL-2
MC	12.39132	IL-2
MC	8.29736	IL-2
MC	9.395856	IL-2
MC	10.38576	IL-2
MC	8.486954	IL-2
MC	11.4486	IL-2
MC	13.49043	IL-2
MC	6.835732	IL-2
MC	8.48592	IL-2
MC	9.567994	IL-2
MC	10.46884	IL-2
PP	54.40116	IL-2
PP	53.37879	IL-2
PP	39.10855	IL-2
PP	43.32241	IL-2
PP	46.56582	IL-2
PP	45.87692	IL-2
PP	42.49342	IL-2
PP	44.28492	IL-2
PP	42.76291	IL-2
PP	45.29142	IL-2
PP	42.39031	IL-2
PP	40.12345	IL-2
PT	58.39937	IL-2
PT	79.81548	IL-2
PT	49.93181	IL-2
PT	58.43875	IL-2
PT	62.41996	IL-2
PT	53.326	IL-2
PT	58.377	IL-2
PT	52.35642	IL-2
PT	57.28394	IL-2
PT	59.43678	IL-2
PT	60.21453	IL-2
PT	51.45672	IL-2
AT	67.48975	IL-2
AT	69.55061	IL-2
AT	64.27678	IL-2
AT	68.43267	IL-2
AT	69.67942	IL-2
AT	70.35673	IL-2
AT	62.45789	IL-2
AT	61.43113	IL-2
AT	63.48291	IL-2
AT	63.84832	IL-2
AT	70.48913	IL-2
AT	71.39204	IL-2
APT	74.29736	IL-2
APT	69.30989	IL-2
APT	71.4119	IL-2
APT	73.34837	IL-2
APT	77.33495	IL-2
APT	73.41011	IL-2
APT	67.49244	IL-2
APT	61.55239	IL-2
APT	76.31931	IL-2
APT	78.34586	IL-2
APT	73.57042	IL-2
APT	77.34689	IL-2
