KO	Sample_s9c	Sample_s9B	Sample_s8c	Sample_s8B	Sample_s7c	Sample_s7B	Sample_s76c	Sample_s76B	Sample_s75c	Sample_s75B	Sample_s74c	Sample_s74B	Sample_s73c	Sample_s73B	Sample_s72c	Sample_s72B	Sample_s71C	Sample_s71B	Sample_s6c	Sample_s6B	Sample_s66c	Sample_s66B	Sample_s65c	Sample_s65B	Sample_s64c	Sample_s64B	Sample_s62c	Sample_s62B	Sample_s61c	Sample_s61B	Sample_s60c	Sample_s60B	Sample_s58c	Sample_s58B	Sample_s57c	Sample_s57B	Sample_s56c	Sample_s56B	Sample_s55c	Sample_s55B	Sample_s54c	Sample_s54B	Sample_s53c	Sample_s53B	Sample_s52c	Sample_s52B	Sample_s51c	Sample_s51B	Sample_s50c	Sample_s50B	Sample_s4c	Sample_s4B	Sample_s49c	Sample_s49B	Sample_s48c	Sample_s48B	Sample_s46c	Sample_s46B	Sample_s45c	Sample_s45B	Sample_s42c	Sample_s42B	Sample_s39c	Sample_s39B	Sample_s38c	Sample_s38B	Sample_s37c	Sample_s37B	Sample_s36c	Sample_s36B	Sample_s35c	Sample_s35B	Sample_s34c	Sample_s34B	Sample_s33c	Sample_s33B	Sample_s32c	Sample_s32B	Sample_s31c	Sample_s31B	Sample_s30c	Sample_s30B	Sample_s2c	Sample_s2B	Sample_s29c	Sample_s29B	Sample_s28c	Sample_s28B	Sample_s24c	Sample_s24B	Sample_s22c	Sample_s22B	Sample_s21c	Sample_s21B	Sample_s19c	Sample_s19B	Sample_s18c	Sample_s18B	Sample_s16c	Sample_s16B	Sample_s15c	Sample_s15B	Sample_s14c	Sample_s14B	Sample_s13c	Sample_s13B	Sample_s11c	Sample_s11B	Sample_s10c	Sample_s10B
K24258	0.00016303	0.000131252	0.000128331	7.55475E-05	6.86726E-05	5.2688E-05	4.82492E-05	3.01886E-05	4.22884E-05	0.000110713	6.50482E-05	8.40299E-05	0.000108118	0.000133606	6.93391E-05	0.000160501	6.72474E-05	5.10583E-05	8.128E-05	7.10028E-05	6.01054E-05	4.09548E-05	3.00018E-05	5.84529E-05	0.000118307	4.9576E-05	4.79632E-05	0.000101551	7.36533E-05	8.1533E-05	8.62144E-05	8.54506E-05	0.000183694	8.41648E-05	9.92967E-05	8.59296E-05	6.75823E-05	3.8939E-05	8.19039E-05	3.4712E-05	7.94128E-05	6.1939E-05	4.81264E-05	7.0889E-05	0.000136017	9.46831E-05	0.000127754	0.000107699	7.93417E-05	6.07128E-05	9.42938E-05	2.54118E-05	5.61747E-05	8.94017E-05	0.00018395	9.28523E-05	0.000255385	2.62068E-05	0.000203907	4.35753E-05	0.000241777	6.6415E-05	0.000219935	6.0037E-05	0.000278599	6.25024E-05	0.000181147	6.87615E-05	0.000328536	3.21123E-05	0.000294725	0.000103122	0.000275199	4.11103E-05	0.000243132	4.54134E-05	0.000215191	0.000111412	0.000208127	2.89292E-05	0.000277577	5.4498E-05	5.35208E-05	1.97737E-05	0.000197205	3.1595E-05	0.000234574	4.59685E-05	0.000118127	4.94487E-05	4.31366E-05	6.18013E-05	5.54797E-05	4.70022E-05	6.97081E-05	6.44361E-05	4.83619E-05	4.3673E-05	0.000175895	0.000122931	4.77965E-05	0.000151918	0.0001635	8.83255E-05	0.000102815	0.000124438	8.3951E-05	0.000138846	5.95295E-05	7.27685E-05
K24217	0.000224222	0.000304188	0.00027912	0.000285534	0.000322933	0.000285028	0.000257287	0.000298807	0.0002301	0.000302722	0.000230142	0.000241775	0.000282379	0.000333973	0.000289054	0.000295744	0.000291039	0.000181446	0.00022327	0.000269878	0.000307005	0.000361083	0.000274022	0.000342192	0.000142553	0.000190203	0.000360011	0.000345344	0.000220493	0.000233114	0.000262738	0.000249223	0.000348222	0.000328189	0.000206605	0.000314245	0.000344652	0.000289826	0.000337383	0.000303758	0.000296404	0.000213184	0.000285742	0.000299366	0.000204494	0.000293083	0.000271132	0.000353444	0.000241593	0.00021905	0.000220903	0.000272486	0.00025441	0.000297547	0.000307736	0.0003437	0.000219226	0.000311156	0.000240614	0.000373897	0.000169674	0.00022498	0.000275829	0.000228992	0.000165252	0.000332808	0.000154896	0.000245959	0.0002441	0.000291688	0.000256357	0.000272429	0.000225257	0.00031568	0.00027777	0.000284722	0.000218336	0.000411152	0.000236652	0.000356878	0.000110869	0.000252717	0.000289785	0.000318914	0.000220044	0.000206596	0.000225522	0.00033618	0.000325554	0.000277827	0.00027356	0.000249318	0.000321095	0.000279301	0.000274683	0.000290928	0.000300976	0.000340602	0.000270496	0.000383352	0.000217798	0.000338977	0.000203367	0.000238506	0.000263421	0.000333359	0.000249759	0.000304527	0.000205299	0.000218701
K24204	6.80106E-05	0.00013816	8.21961E-05	0.000134855	0.000164345	8.18924E-05	5.268E-05	3.62818E-05	5.76805E-05	6.14992E-05	0.000122434	0.000164251	0.000220459	6.91041E-05	0.000137348	9.15534E-05	0.000195425	7.40887E-05	0.000118981	0.000202119	8.10954E-05	3.83276E-05	0.000102044	0.000102714	0.000239855	0.000142696	0.00012674	0.000107695	8.50855E-05	0.00010993	0.000134198	0.000180811	0.000153142	6.8336E-05	0.000167255	0.000169229	0.000182054	0.000146452	0.000147384	0.000134863	0.000115448	8.22648E-05	0.000117941	0.000163267	0.000175078	0.000145597	0.000124662	8.76375E-05	0.000215863	0.000174872	0.000147151	0.000154273	0.000172288	8.72573E-05	5.81612E-05	3.42136E-05	4.27557E-05	0.000133644	5.83471E-05	5.40648E-05	0.000105629	0.00014208	9.8907E-05	0.000151644	4.45102E-05	6.33498E-05	6.57702E-05	0.000101031	7.2976E-05	8.20389E-05	5.40416E-05	0.000132818	0.000119863	8.81168E-05	8.07786E-05	8.09389E-05	3.14202E-05	5.17459E-05	7.17154E-05	0.000101632	3.42669E-05	8.49258E-05	0.000141857	7.55038E-05	5.85448E-05	0.000142906	5.9057E-05	0.000162531	7.17292E-05	7.5023E-05	0.000129033	0.000190751	8.88823E-05	9.19236E-05	0.000122057	0.000142961	0.000102427	5.88677E-05	0.000128191	8.75795E-05	6.75082E-05	0.000109349	0.00016329	0.000251187	0.000131318	8.35432E-05	0.000114703	0.000139397	4.84154E-05	9.7689E-05
K24180	0.000505361	0.00061912	0.0005181	0.000509853	0.000433133	0.00035224	0.000293869	0.000360639	0.000385217	0.000474798	0.000438087	0.000484979	0.000421742	0.000497989	0.00035438	0.000553341	0.000435233	0.000316777	0.000385299	0.000518451	0.000264917	0.000276682	0.000455454	0.00038338	0.000516712	0.000310752	0.000254532	0.000452054	0.000587224	0.000504071	0.000406004	0.000440061	0.000731724	0.000345371	0.00050475	0.000479232	0.000379129	0.000453047	0.000400366	0.000419718	0.000402923	0.000377477	0.000327465	0.000517808	0.000591208	0.000465972	0.000655474	0.000458615	0.00059369	0.000541894	0.000480177	0.000471816	0.000553035	0.00043104	0.000329507	0.000177443	0.000241202	0.000373263	0.000441454	0.00021276	0.000401402	0.000369941	0.00039937	0.000495173	0.000290594	0.000319035	0.000417355	0.000417276	0.000367673	0.000350847	0.00054408	0.000443503	0.000445244	0.000471915	0.00022616	0.000319438	0.000346513	0.000456322	0.000340671	0.000345458	0.000349659	0.00037757	0.000400701	0.000348511	0.000394434	0.000451461	0.000347187	0.000512169	0.000344242	0.000326947	0.000437417	0.000665384	0.000268747	0.000297098	0.000304649	0.000409075	0.000384019	0.000289505	0.000559369	0.000478669	0.000482306	0.000547912	0.000597472	0.00045874	0.000508784	0.000473204	0.000390253	0.00043542	0.00050688	0.000469189
K24119	0.000138908	0.000120342	0.000106118	0.000139572	0.000105881	0.000207223	0.000224931	0.000194026	0.000136953	0.000111162	0.000142527	0.000113721	0.000148536	0.000104267	9.47684E-05	8.72077E-05	0.000120991	7.22368E-05	0.000150332	0.000101334	0.000206973	0.000215806	0.000163887	0.000224055	9.69218E-05	5.91149E-05	0.00017585	0.00013434	0.00010561	0.000129333	0.000163179	0.000149517	0.000154096	0.000210587	0.000125849	0.000103853	0.000169463	0.000132685	0.000136279	0.000121282	0.000101954	0.000111625	0.000159845	0.000133054	0.000110051	0.000165241	0.000121058	0.000129323	0.000121842	0.000153229	0.000117313	0.000170303	8.89845E-05	0.000124481	0.00015524	0.000122677	0.000236516	0.000163491	0.000190554	0.000183065	0.000225347	0.000129393	0.000162473	0.000187268	0.000235182	0.000161753	0.000149525	0.00015434	0.000231169	0.000148884	0.00027176	0.000130763	0.000218218	0.000153745	0.000191288	0.000150768	0.00018689	0.000190389	0.00021065	0.00016924	0.00019512	0.000123634	0.000166905	0.000185625	0.000171963	0.00013864	0.000173878	0.00018757	0.00012937	0.000122973	0.00016796	0.000163668	0.000161395	9.48832E-05	0.000169604	0.000148096	0.00019475	0.000139736	0.000110532	0.000153148	0.000107005	5.43176E-05	0.000140065	0.000176942	0.000132102	0.000192266	0.000106676	0.0001412	8.73287E-05	0.000103375
K24041	8.33404E-05	0.000165056	0.000168298	0.000153206	0.000132293	9.85912E-05	0.000121645	7.71246E-05	4.20523E-05	6.74213E-05	9.97831E-05	0.000135388	8.60844E-05	6.3028E-05	7.81143E-05	0.00010244	0.000265991	0.000114	0.00010208	0.000131065	0.000107326	8.98743E-05	0.000125879	9.58816E-05	0.000102074	6.85146E-05	0.000164416	0.000156752	0.000172353	0.000221903	5.64183E-05	0.000108223	0.000187076	9.86486E-05	0.000225945	0.000186283	0.000120398	0.000155168	0.000121183	0.000205777	0.000114518	0.000165983	0.000108353	0.000139251	0.000142591	0.000197598	0.000166568	0.000104567	0.000172264	0.000208984	0.000143628	0.000198573	0.000205759	0.00011955	0.000129155	3.39281E-05	9.76425E-05	0.000116223	0.000132967	5.7125E-05	0.000188327	0.000162325	0.000100286	0.000245096	6.21226E-05	6.57648E-05	8.5317E-05	0.000119473	0.000110365	8.23473E-05	0.000247458	7.929E-05	0.000124251	0.000191973	0.000109652	6.15866E-05	4.68671E-05	0.000165054	8.3108E-05	0.000145974	6.05244E-05	0.000169978	0.000131978	0.000117795	6.59782E-05	0.000175295	0.000121083	5.36348E-05	6.26383E-05	8.20741E-05	0.000125731	0.000145671	8.99059E-05	8.31169E-05	8.49343E-05	9.26524E-05	0.000136265	0.00011766	8.85704E-05	7.55327E-05	0.000162337	0.000113045	0.000114065	0.000132052	8.17043E-05	8.04934E-05	0.000145427	0.000163311	0.000100359	0.000127937
K23999	0.00010685	0.00012652	4.02576E-05	0.000136899	0.000120157	8.53355E-05	2.76653E-05	9.3868E-05	5.41835E-05	0.000129763	5.1785E-05	0.000105327	7.12303E-05	0.000121512	9.25572E-05	9.28675E-05	0.000121767	9.04932E-05	5.93061E-05	0.000141685	8.6495E-05	6.95693E-05	9.44164E-05	7.61225E-05	5.60401E-05	0.000118195	6.78988E-05	0.000175813	6.92429E-05	4.91355E-05	6.41656E-05	0.000110736	6.60164E-05	6.12205E-05	0.000109755	0.000211771	8.92774E-05	0.000140718	8.03396E-05	0.000131919	6.79336E-05	6.37569E-05	9.20326E-05	0.000120209	5.96319E-05	9.59067E-05	6.81278E-05	0.000105005	7.45534E-05	8.6257E-05	0.000100151	5.03139E-05	0.000130808	0.000129476	0.000140413	0.00017801	0.000159401	0.000141974	0.000139798	0.000147024	0.000138741	0.000108537	0.000123738	0.000131429	0.000146933	0.000178998	0.000114946	0.000108268	0.000177985	0.000119278	6.24664E-05	8.48951E-05	0.000165885	0.000124243	0.000112384	0.000110437	0.000117466	0.000113363	0.000126191	0.00022502	0.000132723	0.000118247	4.79584E-05	0.000145372	0.000152845	0.000175736	0.000115758	0.000160886	7.69142E-05	0.000143441	9.41024E-05	0.000110015	7.79215E-05	0.000163444	0.000120713	0.000204932	6.75394E-05	0.000175785	7.1549E-05	0.000156231	9.57261E-05	0.000145566	7.20651E-05	7.92845E-05	5.65276E-05	7.43411E-05	0.000135624	0.000132164	7.49103E-05	0.000143931
K23997	0.000565144	0.00060065	0.000577385	0.000530937	0.000598004	0.000554462	0.000516153	0.000565977	0.000587745	0.000591668	0.000537251	0.000549188	0.000516463	0.000549788	0.000542418	0.000543663	0.000565527	0.000587312	0.000525713	0.000603644	0.000544839	0.000496042	0.000568317	0.000571567	0.000520473	0.000527342	0.000605504	0.000571953	0.000615237	0.000527037	0.000573094	0.000547932	0.000570495	0.000517244	0.000553373	0.000608281	0.000531606	0.000574627	0.000506937	0.000512115	0.000549151	0.000548707	0.000533129	0.000556984	0.000489175	0.000529486	0.00058766	0.000580304	0.000576862	0.000495382	0.000557314	0.000575444	0.000626968	0.000553615	0.000636001	0.000637687	0.000553207	0.000530376	0.000580463	0.000584963	0.000551228	0.000569941	0.000575989	0.000541147	0.000553768	0.000608516	0.000552259	0.000576507	0.000540369	0.000537603	0.000594691	0.000519506	0.000564397	0.000512869	0.000569941	0.000605772	0.000617	0.000577111	0.000595295	0.000590364	0.000588292	0.000541716	0.000498691	0.000555862	0.000587076	0.000621616	0.000591547	0.000502928	0.000494844	0.000577644	0.000564276	0.000616627	0.000569526	0.000561467	0.000527991	0.000588124	0.000574224	0.000624886	0.000553986	0.000628201	0.000470385	0.000623794	0.00056653	0.000606212	0.00055126	0.000542686	0.000537247	0.00053714	0.00054888	0.000547611
K23980	0.000124099	0.000135176	0.000188449	0.000162292	0.000148301	0.000109898	0.000132526	0.000203278	0.000286251	0.000205801	0.000161201	0.000118822	0.000152796	0.000251394	0.000196558	0.000154951	0.000164415	0.000170057	0.00017996	0.000127284	0.000180535	0.000205095	0.000124264	8.69821E-05	0.000200321	0.000257819	0.000158175	0.000204772	0.000286878	0.000144239	0.000235658	0.000153775	0.000103914	0.000191685	0.00012069	0.00017348	0.000178091	0.000145243	0.000215582	0.000240325	0.000251474	0.000155978	0.000148383	0.000130244	0.000104744	0.000117192	0.000122772	0.000145769	0.000149825	0.00012914	0.000171291	0.000112633	0.000109858	0.000189785	0.000348799	0.000262893	0.000340933	0.000182596	0.000259524	0.000271645	0.000245746	0.00017282	0.000324857	8.47553E-05	0.000276767	0.000265209	0.000362422	0.000191709	0.000362148	0.000239121	0.000239263	0.000187273	0.000277396	0.000199315	0.000363708	0.000286506	0.000373141	0.000209627	0.000273138	0.00018378	0.000286128	0.000154672	0.000153848	0.000199172	0.000302778	0.000105016	0.000354793	0.000145072	0.000199047	0.000199868	0.000201391	6.67385E-05	0.000230752	0.000295405	0.00019672	0.000185216	0.00011995	0.000219896	0.000161631	0.000206602	0.000151653	0.000162021	0.000111761	6.73134E-05	0.000208684	7.77952E-05	9.6903E-05	0.000125538	0.000268324	0.000193619
K23876	0.000180849	0.00013262	0.000159992	0.00014862	0.000173731	6.40234E-05	0.000198201	0.000103765	4.4338E-05	7.60508E-05	0.000185265	0.000220032	0.000181021	8.0885E-05	0.000158732	8.59755E-05	0.000173145	0.000130018	0.000192042	9.56575E-05	9.54855E-05	3.95034E-05	0.000188982	0.00013224	0.000190572	0.000122252	0.000113356	7.63749E-05	0.000142651	0.000126538	0.000168613	9.38381E-05	0.00018077	0.000103155	8.7182E-05	8.18416E-05	0.000140134	0.000115573	0.000216463	0.000100677	0.000110326	0.00016125	0.000103147	0.000118428	0.000150382	8.56027E-05	0.000198797	4.97589E-05	0.000201065	0.000145959	0.000210899	0.00010423	0.000212033	7.33378E-05	9.26292E-05	5.71119E-05	4.89189E-05	0.000108919	0.000131686	5.47784E-05	0.000112722	9.63829E-05	0.000134575	0.000168776	6.4453E-05	3.16013E-05	7.5096E-05	0.000125586	0.000114087	7.69239E-05	0.000109954	0.000151317	0.000137408	8.75112E-05	4.04116E-05	3.27125E-05	7.83408E-05	5.14038E-05	9.14053E-05	0.00013942	3.21666E-05	0.000121733	0.000159016	7.98301E-05	0.000149865	0.000126199	5.71644E-05	7.54317E-05	0.000144401	0.000119632	0.000121549	7.44997E-05	0.000150407	7.36913E-05	0.000169185	0.000113539	0.000109267	5.11687E-05	0.000164152	9.81658E-05	0.000161512	5.06322E-05	0.000134115	0.000235938	0.000145636	8.09957E-05	0.000170985	0.000152247	0.000138581	5.08729E-05
