Enzyme_id	Sample_s9c	Sample_s9B	Sample_s8c	Sample_s8B	Sample_s7c	Sample_s7B	Sample_s76c	Sample_s76B	Sample_s75c	Sample_s75B	Sample_s74c	Sample_s74B	Sample_s73c	Sample_s73B	Sample_s72c	Sample_s72B	Sample_s71C	Sample_s71B	Sample_s6c	Sample_s6B	Sample_s66c	Sample_s66B	Sample_s65c	Sample_s65B	Sample_s64c	Sample_s64B	Sample_s62c	Sample_s62B	Sample_s61c	Sample_s61B	Sample_s60c	Sample_s60B	Sample_s58c	Sample_s58B	Sample_s57c	Sample_s57B	Sample_s56c	Sample_s56B	Sample_s55c	Sample_s55B	Sample_s54c	Sample_s54B	Sample_s53c	Sample_s53B	Sample_s52c	Sample_s52B	Sample_s51c	Sample_s51B	Sample_s50c	Sample_s50B	Sample_s4c	Sample_s4B	Sample_s49c	Sample_s49B	Sample_s48c	Sample_s48B	Sample_s46c	Sample_s46B	Sample_s45c	Sample_s45B	Sample_s42c	Sample_s42B	Sample_s39c	Sample_s39B	Sample_s38c	Sample_s38B	Sample_s37c	Sample_s37B	Sample_s36c	Sample_s36B	Sample_s35c	Sample_s35B	Sample_s34c	Sample_s34B	Sample_s33c	Sample_s33B	Sample_s32c	Sample_s32B	Sample_s31c	Sample_s31B	Sample_s30c	Sample_s30B	Sample_s2c	Sample_s2B	Sample_s29c	Sample_s29B	Sample_s28c	Sample_s28B	Sample_s24c	Sample_s24B	Sample_s22c	Sample_s22B	Sample_s21c	Sample_s21B	Sample_s19c	Sample_s19B	Sample_s18c	Sample_s18B	Sample_s16c	Sample_s16B	Sample_s15c	Sample_s15B	Sample_s14c	Sample_s14B	Sample_s13c	Sample_s13B	Sample_s11c	Sample_s11B	Sample_s10c	Sample_s10B
AA3_2	1.79E-05	1.50E-05	0	0.000116166	0	0	0	7.19E-05	0	6.47E-05	0	6.24E-06	6.50E-06	0.000323946	0	1.51E-05	0	3.99E-05	0	8.83E-05	0	0.000114903	0	0.000145133	0	6.57E-06	0	5.65E-05	0	0.000260615	3.49E-05	8.16E-06	0	2.45E-05	0	0.00028966	0	2.05E-05	8.20E-05	1.75E-05	0	0.000149557	0	0.000144659	0	6.90E-06	0	9.27E-05	0	7.80E-06	0	8.86E-05	0	0.000148019	0	5.29E-06	8.67E-05	7.12E-05	0	7.15E-05	0	2.10E-05	0	9.03E-06	0	0.000156012	4.10E-05	8.97E-05	0	1.93E-05	0	4.15E-05	8.61E-05	0.000173459	0	5.33E-05	0	5.81E-05	0	1.62E-05	0	0	0	5.60E-05	0	4.19E-05	0	0.000412534	0	1.42E-05	3.22E-05	1.14E-05	8.50E-06	0.000102417	6.79E-05	1.39E-05	0	9.39E-05	0	0.000102814	0	2.33E-05	0	5.33E-05	0	4.31E-05	0	0.000162097	0	4.19E-05
AA4	0.00227088	0.000238339	0.001677671	0.000784871	0.001013106	0.00076198	0.001994542	0.001237886	0.002530989	0.001060795	0.001478297	0.000454861	0.001505146	0.001729464	0.001701506	0.000718829	0.000772976	0.001383372	0.002001421	0.00052766	0.001195689	0.000508644	0.001435271	0.000557681	0.000249183	0.000895975	0.001331479	0.000572748	0.003373241	0.000714301	0.001331521	0.00033255	0.000913955	0.001123647	0.001281502	0.000719294	0.001214685	0.00096909	0.000869952	0.000813323	0.001271471	0.002183032	0.000780068	0.00040445	0.000651835	0.001054719	0.001396529	0.000430201	0.000593413	0.000489315	0.000757459	0.000426904	0.001646271	0.00073174	0.000237711	0.000672557	0.000256348	0.000864153	0.000186585	0.0007164	0.000519958	0.000689675	0.000531849	0.000908972	0.000237923	0.001134665	0.002550661	0.000692454	0.000619309	0.000593348	4.99E-05	0.000664429	0.000114472	0.000692054	0.000390463	0.000592048	0.001248803	0.000618188	0.00028017	0.000748546	0.001626358	0.000837438	0.000886017	0.000855042	0.000686673	0.001373143	0.001322412	0.000376656	0.001770148	0.000819671	0.001730746	0.000431406	0.001512611	0.000594473	0.001748941	0.001135554	0.000866355	0.000852935	0.000874293	0.000564477	0.002005928	0.000551183	0.001046544	0.000498114	0.001592556	0.000349912	0.001403525	0.000597518	0.003683005	0.001012236
AA6	9.40E-05	0.000173906	0.000383336	0.000346479	0.000576411	0.001232444	0.00012541	0.000103969	2.00E-05	9.92E-05	0.000373651	0.000239789	0.000120396	0.000477225	0.000266267	0.000193558	0.0002105	0.000170791	0.000123461	0.000263693	7.50E-05	0.000135817	0.000169526	0.00019747	0.000387248	0.000206862	0.000947845	0.00018547	4.47E-05	0.000431535	0.000172958	0.000100619	0.000169713	9.08E-05	0.000135987	0.000388952	0.000183155	0.000167622	0.000415499	0.000327891	0.000215545	6.46E-05	0.000169131	0.000349095	0.000138133	0.00014008	0.00026066	0.000289492	0.000181984	0.000111287	0.000314265	0.000169586	0.000164043	0.000237731	3.09E-05	1.87E-05	1.21E-05	0.000356228	0.000112947	0.000135407	3.93E-05	0.000121663	1.70E-05	0.000127235	6.97E-05	0.00019443	8.32E-05	0.000184522	0	9.92E-05	0.000451136	0.000129959	4.06E-05	0.000271256	6.55E-05	0.00020212	3.39E-05	0.000346172	0.000104732	0.000204757	8.17E-05	6.61E-05	0.000257222	0.000807227	0	0.000161733	4.92E-05	0.000714386	5.68E-05	5.66E-05	0.000241652	0.000271962	5.20E-05	0.000229261	9.75E-05	0.000167201	0.000217706	0.000120132	0.000147547	0.000174368	0.000358168	6.41E-05	0.000234395	0.000653279	8.28E-05	0.000174322	0.00013369	0.000194825	0.000120157	0.000125135
AA7	0.000944968	0.000540397	0.001734297	0.001831675	0.000510585	0.000384362	0.000952587	0.00085408	0.000383664	0.00109234	0.00060751	0.000758761	0.000405862	0.000636914	0.001195351	0.000598029	0.000886707	0.000607708	0.000941657	0.000508342	0.000537665	0.000442844	0.001147979	0.001020959	0.000895362	0.000374286	0.000526098	0.000555955	0.001012186	0.000991314	0.001190469	0.000216057	0.001385443	0.000968475	0.00122112	0.000586306	0.00177274	0.000472227	0.002057686	0.000753283	0.000927291	0.000672701	0.000766569	0.000603151	0.000901094	0.000589033	0.001007274	0.000370855	0.001686348	0.001190979	0.001343035	0.000989299	0.001343442	0.000444399	5.47E-05	0.000915425	0.000176415	0.000482718	7.68E-05	0.00060494	0.000526269	0.000686743	0.000640969	0.000780571	0.00013171	0.000852495	0.000103363	0.000653996	2.23E-05	0.000203304	0.000999006	0.000454079	0.000120816	0.00058399	4.95E-05	0.001050367	0.000313651	0.000474379	0.000496471	0.000952209	0.000369273	0.001065564	0.000899303	0.000482714	0.000225421	0.000766068	2.79E-05	0.00068967	0.001396523	0.000803913	0.000543895	0.000576988	0.000632174	0.000379181	0.001207341	0.000524123	0.001174208	0.00034787	0.002129393	0.000853449	0.000119046	0.0004665	0.000900912	0.000705354	0.000823258	0.001201352	0.000601993	0.001104695	0.000642787	0.000740848
CBM13	0.002732988	0.002578025	0.004180408	0.002909985	0.002082376	0.002342628	0.002555052	0.004066803	0.002213479	0.001807581	0.002207566	0.002474485	0.001445765	0.001386364	0.00168549	0.001303885	0.003133976	0.003255906	0.001527855	0.002871358	0.002360832	0.00185931	0.001831359	0.001922608	0.001751394	0.001612846	0.003951043	0.001358735	0.002571834	0.002511621	0.001276305	0.001608609	0.001297867	0.00140767	0.002973286	0.001899725	0.002157094	0.002773764	0.001666055	0.002909385	0.001140227	0.00303968	0.003640658	0.003334134	0.002597016	0.001866104	0.001333227	0.002269732	0.003022518	0.002900842	0.002620523	0.003000526	0.001698362	0.001606863	0.000384952	0.001898381	0.001314689	0.000974883	0.000402996	0.001400732	0.00056292	0.001424488	0.000592828	0.002479862	0.000599201	0.00160867	0.000787471	0.002402498	0.000395956	0.001972823	0.000104757	0.002116909	0.000539128	0.001668694	0.000557625	0.001623878	0.000845517	0.001171907	0.001054201	0.001939201	0.00346911	0.002510731	0.001963813	0.001774067	0.000426919	0.00225202	0.000380694	0.002033066	0.002227371	0.003959697	0.001827992	0.003719457	0.001385747	0.001923354	0.001898484	0.002330458	0.001953909	0.002375831	0.00281046	0.002087616	0.002131806	0.002927156	0.002864185	0.001945982	0.001914385	0.002516029	0.00260636	0.001476193	0.002095567	0.002351155
CBM16	0	0	0	0	0	7.05E-06	0	0	7.14E-06	0	0	0	0	0	0	0	0	0	0	0	0	5.00E-06	5.56E-06	1.01E-05	0	0	0	0	0	0	0	0	0	7.40E-06	0	0	0	0	0	0	0	0	0	1.75E-05	0	0	0	0	0	0	1.22E-05	0	1.92E-05	0	0	0	0	4.95E-06	0	2.02E-05	0	8.41E-06	0	5.67E-06	0	0	0	0	0	0.000162808	0	0	0	9.32E-06	0	0	0	1.83E-05	0	0	0	0	0	8.41E-06	0	0	0	0	0	0	3.75E-06	0	8.71E-06	7.54E-05	0	0	1.24E-05	0	0	0	0	0	0	0	0	0	0	6.86E-05	0	0
CBM20	0.001485749	0.00111369	0.001381941	0.001552461	0.0020029	0.002448785	0.00295945	0.002701091	0.002115523	0.001900425	0.001738465	0.0013835	0.001875815	0.001309547	0.001186673	0.001467138	0.001649934	0.001822301	0.001659897	0.001138329	0.003005303	0.002662633	0.001771672	0.002816017	0.001045798	0.001511832	0.00236062	0.001919108	0.001281684	0.001408061	0.002239486	0.001393231	0.001715124	0.002239629	0.001845373	0.001483684	0.002366828	0.001528062	0.001945174	0.001518005	0.001423906	0.00223417	0.002641865	0.001447218	0.001254488	0.001769314	0.001452081	0.002012104	0.001309837	0.001885676	0.00218901	0.002384591	0.001679493	0.001902125	0.002306867	0.00334672	0.002240526	0.0018186	0.001675213	0.002555342	0.002140693	0.002097658	0.002070891	0.001640018	0.00241223	0.002345824	0.001658816	0.001745848	0.002230103	0.001918441	0.002157813	0.001563172	0.001885521	0.001564711	0.002672438	0.002182496	0.002004914	0.002191572	0.002047849	0.001855969	0.003118825	0.002418512	0.002200019	0.002241369	0.00195086	0.001870944	0.00186955	0.001095742	0.002038892	0.002152801	0.002067702	0.00129813	0.002312467	0.001767298	0.002215439	0.001735993	0.003219795	0.002237891	0.001853658	0.001798746	0.001953763	0.001259305	0.001282511	0.001650452	0.001479193	0.002056868	0.001693973	0.002433602	0.001409551	0.001857809
CBM2	0.000321817	0.002351782	0.00093093	0.002249425	3.94E-05	0.000390591	4.42E-05	3.40E-05	0.00044326	0.000407497	0.00167973	0.00084059	0.002006366	0.000607876	0.003672798	0.00124631	0.001063325	0.000874019	0.001544175	0.002585344	0.000286147	3.65E-05	3.94E-05	0.000151515	0.003293055	0.001674292	0.000347865	0.000453201	0.000336125	0.001939306	0.001241755	0.002116932	0.001609659	0.000352306	0.001494156	0.00058407	0.000827452	0.000639746	0.001075847	0.001441403	0.000902342	0.001096406	0.000218249	0.000808368	0.001814154	0.000763889	0.001631257	0.000727671	0.003262163	0.002089405	0.001391389	0.000476357	0.000244268	3.89E-05	0.000295494	0.000158918	0.00042896	0.001417095	0.000804668	8.01E-05	0.000584224	0.000419625	0.000345347	0.001006385	9.91E-05	9.90E-05	0.000250698	0.001127991	7.45E-05	6.84E-05	0	0.000883829	0.00042212	0.000894497	9.68E-05	0.000162065	0.000210859	0.000329475	0	0.000241116	0.000325809	0.000439608	0.000798821	0.000415712	0.000126473	0.0002544	1.45E-05	0.000249189	0.000308086	4.17E-05	0.000405693	0.002218865	5.89E-05	0.000132614	0.000908416	0.001555096	0.000194192	1.84E-05	0.001814304	0.001212671	0.000892573	0.002829536	0.002543681	0.00184846	0.001899406	0.00092008	0.001117707	0.000733802	0.000646017	0.000619011
CBM22	0.001099726	0.001050301	0.00062931	0.001568373	0.000141107	0.000867297	0.00203082	0.004116532	0.00200863	0.000805335	0.001193369	0.001638725	0.000563358	0.000231236	0.000905822	0.000473331	0.000960078	0.001749649	0.000897618	0.001875452	0.001526209	0.000212397	0.000713054	0.001401162	0.000335028	0.000142597	0.000431506	0.001399491	0.001376886	0.001136048	0.000347918	0.000312462	0.002529971	0.000831224	0.001229808	0.001642113	0.000616306	0.001344036	0.001112997	0.000955554	0.000613735	0.000676262	0.001657752	0.003552222	0.001712531	0.00020808	0.000702661	0.00072417	0.000664486	0.000841362	0.001717782	0.000506994	0.000796881	0.001107514	0	0.000463078	2.26E-05	0.000378188	0	0.00022119	0	0.000773957	2.94E-05	0.000923237	0	0.000913719	0.000161965	0.001376919	0	0.000339234	8.37E-06	0.001358957	0	0.000483518	3.50E-05	0.000278749	0	0.001720115	5.36E-05	0.00118069	0.00366907	0.00149701	0.000451079	0.000401621	4.00E-05	0.000176653	0	0.000818035	0.000460023	0.002688996	0.000786558	0.002261748	0.000415473	0.00050476	0.000544615	0.000518788	0.000406862	0.001349923	0.002028377	0.001215913	0.000904841	0.001377479	0.001164389	0.000913147	0.000960664	0.001399979	0.0009639	0.000808673	0.001948055	0.001857508
CBM23	3.08E-05	2.53E-05	0.000194448	0.000145421	0.000109021	0.000868585	0	1.40E-05	4.35E-05	0.000594874	0.000241416	9.70E-05	7.95E-05	6.53E-05	0.00075607	0.000383314	0.000251033	9.56E-05	2.37E-05	0.000567805	7.80E-05	0.000490913	0.000132372	6.29E-05	0.000501951	0.000267717	2.09E-05	9.92E-05	1.24E-05	7.30E-05	0.000247879	0.001187296	0.000417109	0.000145969	0.000161439	0.000342648	3.75E-05	0.000430727	0.00010415	0.000103156	0.000168376	0.000370466	5.28E-05	0.000242987	0.000348991	0.000248639	0.000316788	0.000468847	7.75E-05	2.51E-05	8.09E-05	0.000259338	5.25E-05	0.000630017	0.000343771	3.58E-05	0.000373409	7.18E-05	0.000237713	0.000482962	0.000217427	7.39E-05	0.000134267	0.000106799	0.000129956	6.81E-06	0.000553184	0.000337732	0.000262973	0.000771721	0.002208493	0.000124796	0.000470885	0.000154071	0.000113718	5.37E-05	0.000179882	0.000113204	5.81E-05	0.000199397	0.000146234	5.54E-05	3.31E-05	0.00033219	0.00036538	6.24E-05	0.000183297	0.000231241	2.67E-05	4.64E-05	0.00024257	0.000134979	3.27E-05	0.000957534	0.000119255	0.000229305	3.91E-05	4.28E-05	2.15E-05	3.80E-05	0.00018769	2.71E-05	0.000257668	0.000254523	0.000303884	0.000227385	0.000152311	2.06E-05	0.000115747	0.000260529
