SGB136	SGB130	SGB036	SGB063	SGB134	SGB142	SGB154	SGB019	SGB087	SGB034	SGB078	SGB047	SGB183	SGB133	SGB243	SGB105	SGB095	SGB221	SGB044	K23352	K19449	K18979	K18122	K13587	K08679	K07106	K03234	K03073
0.06869513	0.11673915	0	0.031427003	0.17533973	0	0.07403608	0	0	0.02627083	0	0	0	0	0	0.14336938	0.26829174	1.1599233	0.11419496	0.000217122	0.000269816	0.000492548	0.000124433	6.69E-05	0.000139967	0.000263257	0.000136755	0.000482436
0.07299563	0.21187916	0	0	0	0.07167242	0.15134813	0.058204886	0	0.02699741	0	0.14239287	1.9020954	0.030760206	0	0.044397153	0.31091475	0.26340985	0.057620797	0.000231683	9.98E-05	0.000384572	7.76E-05	0.000149707	0.000247812	0.000217646	0.00019746	0.000483561
0.06755042	0.21368471	0	0	0	0.103641	0.089303724	0	0	0.51242703	0	0	0.19414486	0	0	0.058678813	0.21571021	0.44498524	0.18070021	0.000247582	0.00021736	0.000384702	0.000157832	8.69E-05	0.000157948	0.000119221	0.000135437	0.000535649
0.05618834	0.17248255	0	0	0	0.041618746	0.20480755	0.03834866	0	0.042249046	0	0.13815813	0	0	0.03843803	0.027640978	0.2734038	0.039681744	0.094810985	0.000268665	0.000225916	0.000441278	0.000222608	9.57E-05	0.000153844	0.000116003	0.000150727	0.000582952
0.061404344	0.16796456	0.15329392	0	0.034441993	0.18139623	0.16276625	0.041393984	0	0.07384385	0	0.11910587	1.7622347	0	0	0.031758994	0.14753635	0.5674817	0.61345834	0.00021714	0.000277284	0.000550173	0.000249651	9.12E-05	0.000118685	0.000109456	0.00013747	0.0005656
0.0642324	0.09366044	0	0	0	0.22429633	0.10163527	0	0	0.1949115	0	0.21145725	1.3923233	0.15903293	0.58136064	0.0326828	0.54691523	0.45748657	0	0.000261931	0.000205327	0.000471094	0.000178867	0.000112382	0.000168895	0.000159143	0.000162577	0.000538786
0.07625598	0.20707677	0	0	0	0.072187364	0.52369344	0	0	0.18111351	0	0.058745764	2.6062078	0	0.05828818	0.059537247	0.23127474	0.48115578	0.18378669	0.000234909	0.000168143	0.000445112	0.000148562	0.000208307	0.000168926	0.000205313	0.0001294	0.00049041
0.069776736	0.08328591	0.10384769	0.07243121	0	0	0.10523951	0	0	0.1955742	0	0	0	0.18767604	0	0	0	0.47189564	0.062390327	0.000151819	0.000232283	0.00041687	0.0001023	0.000136871	0.000178806	0.000186421	0.000189047	0.000516356
0	0.065792516	0.053497843	0	0	0.105648905	0.20670497	0.13978343	0	0.10556055	0	0.21339753	0	0.100200295	0	0.540055	0.091329925	0.5026713	0.041003082	0.000250316	0.00018418	0.000391938	0.000175295	0.000147099	0.000127289	0.000240452	0.000246904	0.000489585
0.047743082	0.07207729	0.07353986	0	0.34231266	0.08583384	0.2049026	0.05310975	0	0.17006855	0	0.2185355	0.37290055	0.08945878	0.45862877	0.12735082	0.17254806	0.41844097	0.07553665	0.000213251	0.000172092	0.000345665	0.000128549	7.89E-05	0.000119766	0.000207762	0.000189078	0.00051004
0	0	0	0	0	0	0	0	0	0.104305305	0	0	0.44609287	0.18476135	0	0	0	0.12639847	0	0.00031101	0.000206544	0.000385864	0.000135567	4.54E-05	0.000165248	0.000178859	0.000257882	0.000626505
0.052038126	0.15269421	0	0	0.104997694	0	0.16540454	0.059349205	0	0.52849877	0	0.10778965	0.9207845	0.03403699	0	0	0.060052093	0.26925159	0	0.000275724	0.000191582	0.000304475	0.000179358	0.000110899	0.000143116	0.000102115	0.000176863	0.000552494
0.11480194	0.131456	0.06508817	0	0	0.08559623	0.23415498	0	0	0.25513095	0	0.2512423	0	0	0.21170482	0.13210054	0.12084936	0.71035576	0.17045029	0.000133031	0.000231275	0.000451225	0.00010473	0.000125969	0.000135263	0.000214006	0.000113582	0.000585217
0.18010522	0.63999563	0	0	0	0.08840167	0.3387751	0	0	0.12023664	0	0.10664873	0	0	0	0.26484007	1.1753069	0.097725965	0.46940932	0.000139393	0.000235924	0.000557892	0.00010715	0.000126237	0.000123607	0.000170229	8.46E-05	0.000540761
0.096277334	0.10129819	0.042539626	0	0	0.046744294	0.20968449	0	0	0.3048325	0	0.028197234	0.6057345	0	0	0	0.26197463	0.29469636	0.1383272	0.000220933	0.000295307	0.000424561	0.000141831	9.69E-05	0.000121016	0.000224321	0.000136169	0.000569955
0.044030104	0.04036547	0	0	0	0.050747693	0.08892917	0	0	0.49198538	0	0.07229656	0	0	0	0.04441296	0.23282447	0.25816116	0.07269907	0.000173926	0.000263649	0.000550109	0.000134981	0.000119379	0.000132986	0.000168325	0.000124376	0.000573216
0.035415992	0.10046634	0.11752397	0	0	0.07726268	0.30914843	0.040085245	0	0	0.07709455	0	0.67932695	0	0.70099074	0.4890159	0.40450934	0.18109947	0	0.00019299	0.000220162	0.00037552	0.000121784	0.000147048	0.000146347	0.000161637	0.000110255	0.000585902
0.13322186	0.100412354	0.077557094	0.25522715	0.0411065	0	0.16294484	0	0	0.6260519	0	0.03370658	0	0	0	0.048962113	0.07896422	0.05373226	0.12526412	0.00038902	0.000181416	0.00044754	0.00022769	7.25E-05	0.000126568	8.88E-05	0.000135718	0.000595923
0.085884176	0.42653292	0	0	0	0.058504958	0.20108671	0	0	1.1681072	0.06191321	0.08351149	0	0	0	0.12304054	0.4469059	0.39268777	0.045407616	0.00016773	0.000314392	0.000432961	0.000194482	0.000105812	0.000159219	0.000170585	0.000125162	0.000562713
