	Blank control_Positive control	Probio-M9 prophyaxis_Positive control	Probio-M9 treatment_Positive control	Antibiotic_Positive control	Antibiotic+Probio-M9_Positive control
Alistipes putredinis	-0.048981853	-0.039239486	0.001258227	0.002398871	0.07106643
Alistipes sp.	-0.09070745	-0.100019181	-0.031434197	0.300584235	0.871575645
Bacterium 0.1xD8-71	-0.002839619	0.00651589	-0.031875226	-0.028916609	-0.034854561
Bacterium 1xD42-87	-0.016867864	0.044522249	0.264069072	-0.025522715	-0.025522715
Bacterium 1XD8-92	0.050647023	0.310431318	0.088093498	0.068848835	-0.00411065
Bacteroides nordii	-0.006506281	-0.06356347	-0.034022409	0.387571299	0.395444232
Bacteroides uniformis	-0.067068388	-0.056005076	-0.085918532	0.21109906	0.805394957
Clostridiales bacterium	0.028507302	0.085522131	0.123808643	0.228025703	0.036820416
Clostridium sp. CAG:510	0	0.0452684	0	0.392169124	1.953258734
Cyanobacteria bacterium UBA11440	-0.509626861	0.272817036	-0.09052013	-0.689778574	-0.689778574
Hungatella hathewayi	0.00753515	-0.005729125	-0.013086651	0.198953843	0.351485433
Lachnospiraceae bacterium	0.037033375	0.011127954	0.013015285	-0.063765172	-0.004218123
Lachnospiraceae bacterium 10-1	0.663167778	-0.070238551	-0.073463893	-0.136564221	-0.136564221
Lachnospiraceae bacterium A2	0.062666429	0.043116812	0.068911924	-0.002827453	-0.002827453
Lachnospiraceae bacterium A4	-0.06833676	-0.135450659	-0.132807767	-0.163063061	0.183924173
Lachnospiraceae bacterium M18-1	-0.032917431	-0.098971723	-0.100455867	0.313771429	0.169867134
Muribaculaceae bacterium Isolate-004 (NCI)	-0.221679993	-0.261928631	-0.179657627	0.167405549	0.679072123
Porphyromonadaceae bacterium	0.200145182	0.046945389	0.220302913	-0.229324134	-0.233419998
Ruminococcaceae bacterium	-0.045514894	-0.093038216	-0.104413155	-0.164140064	-0.164140064
