Sample	group
Sample_s2B	PP_0
Sample_s2c	PP_30
Sample_s4B	PP_0
Sample_s4c	PP_30
Sample_s6B	PP_0
Sample_s6c	PP_30
Sample_s7B	PP_0
Sample_s7c	PP_30
Sample_s8B	PP_0
Sample_s8c	PP_30
Sample_s9B	PP_0
Sample_s9c	PP_30
Sample_s10B	PP_0
Sample_s10c	PP_30
Sample_s11B	PP_0
Sample_s11c	PP_30
Sample_s13B	PT_0
Sample_s13c	PT_30
Sample_s14B	PT_0
Sample_s14c	PT_30
Sample_s15B	PT_0
Sample_s15c	PT_30
Sample_s16B	PT_0
Sample_s16c	PT_30
Sample_s18B	PT_0
Sample_s18c	PT_30
Sample_s19B	PT_0
Sample_s19c	PT_30
Sample_s21B	PT_0
Sample_s21c	PT_30
Sample_s22B	PT_0
Sample_s22c	PT_30
Sample_s24B	PT_0
Sample_s24c	PT_30
Sample_s28B	AT_0
Sample_s28c	AT_30
Sample_s29B	AT_0
Sample_s29c	AT_30
Sample_s30B	AT_0
Sample_s30c	AT_30
Sample_s31B	AT_0
Sample_s31c	AT_30
Sample_s32B	AT_0
Sample_s32c	AT_30
Sample_s33B	AT_0
Sample_s33c	AT_30
Sample_s34B	AT_0
Sample_s34c	AT_30
Sample_s35B	AT_0
Sample_s35c	AT_30
Sample_s36B	AT_0
Sample_s36c	AT_30
Sample_s37B	APT_0
Sample_s37c	APT_30
Sample_s38B	APT_0
Sample_s38c	APT_30
Sample_s39B	APT_0
Sample_s39c	APT_30
Sample_s42B	APT_0
Sample_s42c	APT_30
Sample_s45B	APT_0
Sample_s45c	APT_30
Sample_s46B	APT_0
Sample_s46c	APT_30
Sample_s48B	APT_0
Sample_s48c	APT_30
Sample_s49B	BC_0
Sample_s49c	BC_30
Sample_s50B	BC_0
Sample_s50c	BC_30
Sample_s51B	BC_0
Sample_s51c	BC_30
Sample_s52B	BC_0
Sample_s52c	BC_30
Sample_s53B	BC_0
Sample_s53c	BC_30
Sample_s54B	BC_0
Sample_s54c	BC_30
Sample_s55B	BC_0
Sample_s55c	BC_30
Sample_s56B	BC_0
Sample_s56c	BC_30
Sample_s57B	BC_0
Sample_s57c	BC_30
Sample_s71B	BC_0
Sample_s71C	BC_30
Sample_s72B	BC_0
Sample_s72c	BC_30
Sample_s73B	BC_0
Sample_s73c	BC_30
Sample_s58B	MC_0
Sample_s58c	MC_30
Sample_s60B	MC_0
Sample_s60c	MC_30
Sample_s61B	MC_0
Sample_s61c	MC_30
Sample_s62B	MC_0
Sample_s62c	MC_30
Sample_s64B	MC_0
Sample_s64c	MC_30
Sample_s65B	MC_0
Sample_s65c	MC_30
Sample_s66B	MC_0
Sample_s66c	MC_30
Sample_s74B	MC_0
Sample_s74c	MC_30
Sample_s75B	MC_0
Sample_s75c	MC_30
Sample_s76B	MC_0
Sample_s76c	MC_30
