	mean_MC_30	mean_BC_30	mean_APT_30	mean_AT_30	mean_PT_30	mean_PP_30	Var.test	Oneway.test	Kruskal.test
Sample_s14c.bin_6	0.004008525	0.032515826	0.04082894	0.232034228	0.127817168	0.089530656	1.21493E-22	0.012184002	0.198301028
Sample_s18B.bin_12	0.689778574	0.180151713	0	0	0.599258444	0.96259561	0	NA	8.13249E-08
Sample_s18B.bin_18	0.034854561	0.032014943	0	0.005937953	0.002979336	0.041370451	0	NA	0.1782315
Sample_s19B.bin_2	0.164140064	0.11862517	0	0	0.059726908	0.071101848	0	NA	0.001836363
Sample_s21B.bin_12	0.063765172	0.100798547	0.059547049	0	0.076780457	0.074893126	0	NA	0.161673406
Sample_s22c.bin_17	0.025522715	0.008654851	0	0	0.289591787	0.070044964	0	NA	0.101315898
Sample_s28c.bin_12	0.018004495	0	0	0.081790818	0.008103365	0.02318863	0	NA	0.211793034
Sample_s30c.bin_3	0	0	1.953258734	0.392169124	0	0.0452684	0	NA	1.11668E-05
Sample_s31c.bin_3	0.414844734	0.193164742	1.093916857	0.582250283	0.235187107	0.152916103	1.08385E-18	0.052459962	0.023795024
Sample_s34c.bin_12	0.121706696	0.088789265	0.29157383	0.435478126	0.02125083	0.022734973	1.30131E-33	0.04240845	0.018083793
Sample_s37c.bin_10	0.051890207	0.059425357	0.40337564	0.25084405	0.038803557	0.046161083	3.52258E-24	0.790755289	0.036616537
Sample_s37c.bin_7	0.220485555	0.129778106	1.0920612	0.52106979	0.189051358	0.120466374	7.85949E-13	7.5053E-05	0.000617946
Sample_s39B.bin_10	0.002827453	0.065493883	0	0	0.071739378	0.045944265	0	NA	0.050706754
Sample_s39B.bin_20	0.00411065	0.054757673	0	0.072959485	0.092204148	0.314541968	0	NA	0.039037141
Sample_s39c.bin_17	0.102055202	0.053073349	0.173121631	0.104454072	0.103313429	0.062815715	1.6687E-24	5.83194E-08	4.23087E-09
Sample_s42c.bin_4	0.080364184	0.073857903	0.475808417	0.467935483	0.046341776	0.016800714	0	NA	9.43262E-08
Sample_s48c.bin_4	0.23288856	0.165820172	1.038283517	0.44398762	0.146970028	0.176883484	8.74848E-23	0.133362291	0.202209456
Sample_s48c.bin_8	0	0	0.31547208	0.092433072	0.005284571	0.028355149	0	NA	0.00059712
Sample_s53c.bin_19	0.136564221	0.799731998	0	0	0.063100328	0.06632567	0	NA	0.005552731
Sample_s54c.bin_20	0.026587621	0.04608468	0	0	0.00988619	0.004329769	0	NA	0.070563949
Sample_s56B.bin_18	0	0.02835083	0	0	0.031499132	0	0	NA	0.004176918
Sample_s57B.bin_15	0.089760744	0.165087007	0	0.02873737	0.046813539	0.004282668	0	NA	0.000347861
Sample_s58c.bin_2	0.233419998	0.43356518	0	0.004095864	0.45372291	0.280365386	0	NA	2.67534E-06
Sample_s64B.bin_23	0.163063061	0.094726302	0.346987234	0	0.030255294	0.027612403	0	NA	0.48454011
Sample_s64c.bin_17	0.287165622	0.64547531	0	0	0.45698891	0.215394386	0	NA	0.002418875
Sample_s10B.bin_11	0.017126845	0	0	0	0	0.00506146	0	NA	0.528773153
Sample_s10B.bin_17	0.003515146	0	0.150439313	0.112273953	0	0	0	NA	0.000240504
Sample_s10B.bin_19	0.01876735	0.006727251	0.012842802	0	0.006883101	0.016144056	0	NA	0.092690507
Sample_s10c.bin_14	0.622545422	1.484454138	0	0	2.112134611	2.245624146	0	NA	0.070150076
Sample_s11B.bin_6	0.11758985	0.171426106	0	0.067870041	0.106494726	0.153072902	0	NA	0.245656677
Sample_s11c.bin_11	0	0	0	0	0	0.061168825	0	NA	0.232639075
Sample_s11c.bin_26	0	0.002028002	0	0	0.007067875	0.052374281	0	NA	0.26790637
Sample_s11c.bin_8	0	0.050583504	0	0	0	0.152180686	0	NA	0.176504418
Sample_s11c.bin_9	0.142635159	0.148103536	0.246499358	0.206020002	0.062168777	0.245695124	2.44659E-18	0.002296966	0.01803357
Sample_s14B.bin_24	0	0	0	0	0	0	0	NA	0.424838477
Sample_s14B.bin_27	0.027822783	0.007573718	0	0	0	0.0068146	0	NA	0.122563423
Sample_s14B.bin_28	0	0	0	0	0	0.059806425	0	NA	0.00375067
