Genome	Sample_s10B	Sample_s10c	Sample_s11B	Sample_s11c	Sample_s13B	Sample_s13c	Sample_s14B	Sample_s14c	Sample_s15B	Sample_s15c	Sample_s16B	Sample_s16c	Sample_s18B	Sample_s18c	Sample_s19B	Sample_s19c	Sample_s21B	Sample_s21c	Sample_s22B	Sample_s22c	Sample_s24B	Sample_s24c	Sample_s28B	Sample_s28c	Sample_s29B	Sample_s29c	Sample_s2B	Sample_s2c	Sample_s30B	Sample_s30c	Sample_s31B	Sample_s31c	Sample_s32B	Sample_s32c	Sample_s33B	Sample_s33c	Sample_s34B	Sample_s34c	Sample_s35B	Sample_s35c	Sample_s36B	Sample_s36c	Sample_s37B	Sample_s37c	Sample_s38B	Sample_s38c	Sample_s39B	Sample_s39c	Sample_s42B	Sample_s42c	Sample_s45B	Sample_s45c	Sample_s46B	Sample_s46c	Sample_s48B	Sample_s48c	Sample_s49B	Sample_s49c	Sample_s4B	Sample_s4c	Sample_s50B	Sample_s50c	Sample_s51B	Sample_s51c	Sample_s52B	Sample_s52c	Sample_s53B	Sample_s53c	Sample_s54B	Sample_s54c	Sample_s55B	Sample_s55c	Sample_s56B	Sample_s56c	Sample_s57B	Sample_s57c	Sample_s58B	Sample_s58c	Sample_s60B	Sample_s60c	Sample_s61B	Sample_s61c	Sample_s62B	Sample_s62c	Sample_s64B	Sample_s64c	Sample_s65B	Sample_s65c	Sample_s66B	Sample_s66c	Sample_s6B	Sample_s6c	Sample_s71B	Sample_s71C	Sample_s72B	Sample_s72c	Sample_s73B	Sample_s73c	Sample_s74B	Sample_s74c	Sample_s75B	Sample_s75c	Sample_s76B	Sample_s76c	Sample_s7B	Sample_s7c	Sample_s8B	Sample_s8c	Sample_s9B	Sample_s9c
Sample_s10B.bin_11	0.95906276	0.040491678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17126845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sample_s10B.bin_17	0.5746291	0	0	0	0	0	0	0	0	0	0	0	0.04298051	0	0	0	0.059177533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15393849	0	0.12633619	0	0	0.062206883	0.7301909	0	0.046048384	0.048669398	0.09312877	0	0.056287076	0	0	0	0.11529895	0	0.36875984	0	0.37355217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04070177	0	0	0	0	0	0.048931897	0	0	0	0.06350026	0	0	0.03515146	0	0	0.029493125	0	0	0	0	0	0	0	0.04016251	0	0	0	0.032105207	0	0.08149625	0	0.07200382	0	0	0	0	0
Sample_s10B.bin_19	0.47177324	0	0	0.028121611	0	0	0	0	0	0.06194791	0	0	0	0	0	0	0.08097978	0	0.047366627	0	0.11170943	0	0	0	0.061333954	0	0	0	0.052401546	0	0.0645506	0	0	0	0	0	0	0	0	0	0.043725725	0	0.04666135	0	0	0	0.042540707	0	0.044116814	0.040161647	0.02795437	0	0.031992536	0.04973797	0.061994974	0	0	0	0	0.045556184	0	0	0	0	0.055917643	0	0.051442605	0	0.043383863	0	0	0	0.06204958	0.08072701	0	0	0	0.029486876	0	0	0	0	0.040689576	0	0	0.058693435	0	0.0630827	0	0.036410484	0	0	0	0	0.07942939	0	0	0	0	0	0.030387126	0	0	0	0.06768571	0	0	0.055474654	0	0
Sample_s10c.bin_14	3.3905609	2.1672165	0	0.17328593	8.050706	3.8727987	1.8023938	5.1310277	10.899236	0	9.824471	4.7078996	0	0	0	0	0	0	0	1.4263395	0	3.871146	0.8742626	0	0	0	0	0	0	0	0	0	0	0	1.329326	0	0.115803346	0	9.102012	0	0	0	1.9792788	0	0.13940562	0	0	0	0	0	0	0	0.09476324	0	0	0	0	0	0.58041507	0.48253384	0.09211037	0.084654875	7.62128	3.5902321	6.737124	7.104858	0	0	3.3698938	0.92121506	0	0	0	0	0	0.363562	0	0	3.6562269	2.1752954	1.5141402	1.1784854	0	0	0.99805355	0.08848515	0	0	0	0	2.2289724	2.2606442	0.48566082	0	13.456115	0.36737302	12.755632	5.3815546	4.2748055	2.5400312	8.144952	0.24315707	0	0	0	0	0.17314434	2.7942197	8.604312	10.087093
Sample_s11B.bin_6	0.2611486	0.025349205	1.8442974	0	0.037121266	0.20069425	0.22631925	0.22923264	0	0	0	0	0.35084343	0.30406466	0	0	0.11302254	0.1512559	0	0.07320508	1.2649158	0	0	0	0.99414325	0	0.2999473	0.31805995	0	0	0.21835174	0.61083037	0.94399154	0	0.039986156	0	0.14197999	0	0	0	0	0	0.14959708	0	0	0	0.54882246	0	3.0953722	0	0	0	0	0	0	0	0.047668584	0.31893674	0	0	0	0	0.4601758	0.17889394	0.41673058	0.52397174	0	0	0.046908535	0	1.1981804	0.20673715	0.25899586	0	0	0	0.051168397	0.2755394	0.037341963	0	0	0.06619494	0.7495903	0.07156303	0.07087841	0.4840238	0.07461209	0.046672132	0	0	0.048244502	0.15174146	0	0.5721187	0	0	0.2730129	0.256455	0.13377084	0.07910384	0	0.15280136	0	0	0.36354816	0.6939079	0.21077463	0.0355247	0	0
Sample_s11c.bin_11	0	0	0	0.4893506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032183148	0	0.15437227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sample_s11c.bin_26	0	0	0	0.3447902	0.06046139	0	0	0	0	0	0.067747615	0.063610874	0	0	0.27328897	0	0	0	0	0	0	0	0	0	0	0	0	0.07420405	0.18239652	0	0.29143408	0	0	0	0.031211615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023335999	0	0	0	0	0	0.07383348	0	0	0	0	0.024336027	0.34990728	0	0	0	0.13956253	0	0	0	0	0	0.099462636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04782307	0	0	0	0.10107186	0	0	0	0	0	0	0	0.099360295	0	0	0
Sample_s11c.bin_8	0	0	0	0.66122186	0.075232804	0	0.119766995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55622363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39283174	0.053181738	0.10818891	0.047960836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105981395	0.03576408	0	0	0	0	0	0	0	0	0	0	0
Sample_s11c.bin_9	0.058764603	0.08460859	0	0.98105216	0.060080532	0.11577166	0.04997338	0.064503536	0.08635785	0.05974377	0	0.04254603	0	0.073428	0.06310922	0.12668814	0.14772177	0.049330242	0.09653231	0	0.06859464	0.027507614	0	0.45451844	0.05081151	0.12466564	0.056599274	0.2740678	0	0.049270336	0	0.103010684	0.061435174	0	0.04576097	0.25372246	0	0.28976324	0	0.3528123	0	0.22641692	0.29212463	0.10986232	0	0	0.07384077	0	0.023311218	0	0.10483549	1.2277002	0.058745284	0.043996837	0	0.34393615	0	0.053825095	0.107440665	0.067503855	0	0	0.2582467	0	0.1290265	0	0.17865084	0.14989251	0.20784335	0.54074275	0	0	0.027155105	0.15004452	0.07311731	0.28279757	0.067765124	0.28517085	0.13365687	0.0943608	0.04870614	0.12576061	0.07210742	0.22289616	0.13579467	0.06371033	0.07399143	0.29046878	0.109992415	0.043251775	0	0.33461422	0.04152612	0.46296573	0	0.08275478	0	0.054219477	0.25251424	0.30073228	0	0	0	0	0	0.035750326	0	0.08025152	0	0.10771252
Sample_s14B.bin_24	0	0	0	0	0	0	0.51326513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
