Group	GT6	GH13_18	GH26	GT2_Glyco_tranf_2_5	PL22	CBM26
Blank control	3.62E-05	0.001255807	0.004076537	0.000121506	0	6.29E-05
Blank control	0	0.00104377	0.004869784	0.000890977	0	0
Blank control	1.24E-05	0.000913657	0.00496613	0.000200155	4.44E-06	0.000131284
Blank control	4.81E-06	0.000918079	0.006166043	0.000293113	0	0.000188378
Blank control	2.70E-05	0.001341819	0.004112613	0.000338395	9.04E-06	0.000414328
Blank control	3.11E-05	0.001616848	0.003493183	0.00018666	0	0.000214203
Blank control	0.000850305	0.001064837	0.002061211	8.97E-05	0	0.000166381
Blank control	1.65E-05	0.001356171	0.004564796	0.000207145	0	0.000229363
Blank control	0.001452	0.000747067	0.005183751	0.001289202	4.17E-06	9.44E-05
Blank control	8.30E-06	0.000831648	0.00385825	0.000418333	0	8.82E-05
Blank control	4.07E-06	0.001292449	0.007312806	0.00062718	0	0.000349731
Blank control	4.83E-05	0.000709565	0.003351941	0.000127012	0	0.000437181
Positive control	3.00E-05	0.000594415	0.005418291	0.00018305	0	0.000236032
Positive control	5.25E-06	0.000913682	0.005170051	0.000106782	0	0.000109465
Positive control	4.72E-05	0.00068379	0.003976086	0.000204632	0	0.000252419
Positive control	7.22E-06	0.000331898	0.004207542	0.000340419	0	0.000812627
Positive control	2.84E-05	0.000492401	0.003869328	0.000163932	6.45E-06	0.000194036
Positive control	2.12E-05	0.001209369	0.004576136	0.001043811	0	0.000495203
Positive control	2.75E-05	0.000388051	0.004064833	0.000116054	0	0.000409473
Positive control	0.000174801	0.001122559	0.003291369	6.70E-05	0	6.86E-05
Positive control	1.72E-05	0.000458876	0.004351923	0.000604949	0	0.000463805
Positive control	9.20E-05	0.002484166	0.004008215	0.000133319	0	9.32E-05
Probio-M9 pophylaxis	2.40E-05	0.00043939	0.004026039	9.05E-05	4.75E-06	1.71E-05
Probio-M9 pophylaxis	9.73E-05	0.000276959	0.002294072	7.14E-05	4.13E-06	6.09E-05
Probio-M9 pophylaxis	4.00E-06	0.001810401	0.002325309	0.00021899	7.69E-06	0.000188828
Probio-M9 pophylaxis	2.39E-05	0.000751786	0.003727226	0.000181503	0	0.000225089
Probio-M9 pophylaxis	3.32E-05	0.000985032	0.004524096	0.000620468	0	0.000175096
Probio-M9 pophylaxis	0.000258135	0.000705725	0.003745445	0.000336818	4.47E-06	0.000168929
Probio-M9 pophylaxis	2.31E-05	0.000643279	0.00438175	0.000196962	0	9.50E-05
Probio-M9 pophylaxis	0.000200744	0.000773169	0.003133667	0.000218662	0	4.84E-05
Probio-M9 treatment	1.75E-05	0.000503534	0.002652081	0.000265233	0	0.000313895
Probio-M9 treatment	2.84E-06	0.000488832	0.003859873	0.000263714	1.59E-05	0.000398184
Probio-M9 treatment	2.97E-06	0.00033793	0.002393435	0.000340802	0	0.000340057
Probio-M9 treatment	2.07E-05	0.000789011	0.003703465	0.000301538	0	0.000389111
Probio-M9 treatment	4.43E-06	0.000973892	0.004012288	0.000541597	1.97E-06	0.000368533
Probio-M9 treatment	8.88E-05	0.001158323	0.004651389	0.000378859	0	0.000218594
Probio-M9 treatment	2.34E-05	0.000257355	0.00314462	0.000333035	2.75E-06	0.000346682
Probio-M9 treatment	3.40E-05	0.000860901	0.00390211	0.000350692	5.94E-06	0.000161444
Probio-M9 treatment	0.000148335	0.000483109	0.00345073	0.000638104	5.25E-06	4.47E-05
Antibiotic	6.53E-05	0.000129571	0.003047288	0.000692588	4.13E-05	0
Antibiotic	8.69E-05	0.000299404	0.000823876	0.000290538	0.00055315	0
Antibiotic	0.000113332	8.22E-05	0.002492626	0.000168448	2.48E-05	0
Antibiotic	0.000174899	0.000404452	0.002783638	0.000669696	4.80E-05	4.91E-05
Antibiotic	0.00023117	0.000627346	0.002744349	0.000572362	6.74E-05	4.14E-05
Antibiotic	6.46E-05	0.000236236	0.002402183	0.000229727	4.68E-05	0.000101581
Antibiotic	0.000349618	0.001465368	0.008391088	0.00054926	3.09E-05	0.000176602
Antibiotic	2.37E-05	0.000282984	0.002545056	0.000239056	7.39E-05	5.11E-05
Antibiotic	0.000217773	5.50E-05	0.001993024	0.000397309	0.000127064	0
Antibiotic+Probio-M9	0.000260439	0.000586648	0.003620715	0.000710746	1.02E-05	8.44E-05
Antibiotic+Probio-M9	0.000196976	0.000452448	0.003112551	0.000645447	1.28E-05	4.93E-05
Antibiotic+Probio-M9	0.000508232	0.00152414	0.004014673	0.000833838	7.50E-06	0
Antibiotic+Probio-M9	0.000396884	0.000676447	0.002755474	0.000816825	2.30E-05	0
Antibiotic+Probio-M9	0.000568128	0.000904599	0.003897429	0.000918944	3.28E-05	8.66E-05
Antibiotic+Probio-M9	0.000608698	0.000650673	0.003389034	0.000450603	0.000172819	0.000133427
Antibiotic+Probio-M9	0.001159606	0.000677826	0.003161371	0.000603472	2.01E-05	2.16E-05
