Group	K03073	K03234	K18122	K23352	K19449	K18979	K16899	K13587	K08679	K07106	K06320	K01599
Blank control_30	0.000482436	0.000136755	0.000124433	0.000217122	0.000269816	0.000492548	0.00039613	6.69E-05	0.000139967	0.000263257	6.55E-05	0.000184181
Blank control_30	0.000483561	0.00019746	7.76E-05	0.000231683	9.98E-05	0.000384572	0.000435922	0.000149707	0.000247812	0.000217646	0.000203204	0.000159241
Blank control_30	0.000535649	0.000135437	0.000157832	0.000247582	0.00021736	0.000384702	0.000393522	8.69E-05	0.000157948	0.000119221	0.000108785	0.000166355
Blank control_30	0.000582952	0.000150727	0.000222608	0.000268665	0.000225916	0.000441278	0.000436519	9.57E-05	0.000153844	0.000116003	0.000167655	0.000152294
Blank control_30	0.0005656	0.00013747	0.000249651	0.00021714	0.000277284	0.000550173	0.000384501	9.12E-05	0.000118685	0.000109456	3.07E-05	0.000175603
Blank control_30	0.000538786	0.000162577	0.000178867	0.000261931	0.000205327	0.000471094	0.000464785	0.000112382	0.000168895	0.000159143	9.97E-05	0.000239679
Blank control_30	0.00049041	0.0001294	0.000148562	0.000234909	0.000168143	0.000445112	0.000466883	0.000208307	0.000168926	0.000205313	4.84E-05	0.000121442
Blank control_30	0.000516356	0.000189047	0.0001023	0.000151819	0.000232283	0.00041687	0.000391555	0.000136871	0.000178806	0.000186421	0.000123628	0.000151576
Blank control_30	0.000489585	0.000246904	0.000175295	0.000250316	0.00018418	0.000391938	0.000631022	0.000147099	0.000127289	0.000240452	0.000160441	0.000116868
Blank control_30	0.00051004	0.000189078	0.000128549	0.000213251	0.000172092	0.000345665	0.000498592	7.89E-05	0.000119766	0.000207762	0.00011013	0.000242124
Blank control_30	0.000626505	0.000257882	0.000135567	0.00031101	0.000206544	0.000385864	0.000476294	4.54E-05	0.000165248	0.000178859	0.00014554	0.000170061
Blank control_30	0.000552494	0.000176863	0.000179358	0.000275724	0.000191582	0.000304475	0.000487131	0.000110899	0.000143116	0.000102115	9.61E-05	0.000123097
Positive control_30	0.000585217	0.000113582	0.00010473	0.000133031	0.000231275	0.000451225	0.000321583	0.000125969	0.000135263	0.000214006	3.34E-05	0.000134607
Positive control_30	0.000540761	8.46E-05	0.00010715	0.000139393	0.000235924	0.000557892	0.000271211	0.000126237	0.000123607	0.000170229	3.59E-05	0.000121867
