tax1	tax2	correlation	p_value
SGB013	SGB261	0.95499371	0.000805535
SGB021	SGB037	1	2.49E-40
SGB021	SGB124	1	2.49E-40
SGB021	SGB185	1	2.49E-40
SGB021	SGB207	1	2.49E-40
SGB021	SGB220	1	2.49E-40
SGB021	SGB257	1	2.49E-40
SGB037	SGB124	1	2.49E-40
SGB037	SGB185	1	2.49E-40
SGB037	SGB207	1	2.49E-40
SGB037	SGB220	1	2.49E-40
SGB037	SGB257	1	2.49E-40
SGB054	SGB061	1	2.49E-40
SGB054	SGB090	1	2.49E-40
SGB054	SGB171	1	2.49E-40
SGB054	SGB288	1	2.49E-40
SGB058	SGB145	1	2.49E-40
SGB058	SGB156	1	2.49E-40
SGB061	SGB090	1	2.49E-40
SGB061	SGB171	1	2.49E-40
SGB061	SGB288	1	2.49E-40
SGB062	SGB274	1	0
SGB065	SGB128	1	0
SGB070	SGB226	0.956521739	0.000739508
SGB086	SGB111	1	2.49E-40
SGB086	SGB196	1	2.49E-40
SGB090	SGB171	1	2.49E-40
SGB090	SGB288	1	2.49E-40
SGB111	SGB196	1	2.49E-40
SGB115	SGB151	1	2.49E-40
SGB115	SGB262	1	2.49E-40
SGB115	SGB287	1	2.49E-40
SGB115	SGB304	1	2.49E-40
SGB119	SGB202	0.95499371	0.000805535
SGB124	SGB185	1	2.49E-40
SGB124	SGB207	1	2.49E-40
SGB124	SGB220	1	2.49E-40
SGB124	SGB257	1	2.49E-40
SGB125	SGB157	1	0
SGB140	SGB141	1	2.49E-40
SGB140	SGB161	1	2.49E-40
SGB140	SGB190	1	2.49E-40
SGB140	SGB269	1	2.49E-40
SGB140	SGB299	1	2.49E-40
SGB141	SGB161	1	2.49E-40
SGB141	SGB190	1	2.49E-40
SGB141	SGB269	1	2.49E-40
SGB141	SGB299	1	2.49E-40
SGB145	SGB156	1	2.49E-40
SGB147	SGB182	1	2.49E-40
SGB147	SGB188	1	2.49E-40
SGB147	SGB232	1	2.49E-40
SGB147	SGB251	1	2.49E-40
SGB147	SGB266	1	2.49E-40
SGB147	SGB282	1	2.49E-40
SGB147	SGB283	1	2.49E-40
SGB151	SGB262	1	2.49E-40
SGB151	SGB287	1	2.49E-40
SGB151	SGB304	1	2.49E-40
SGB161	SGB190	1	2.49E-40
SGB161	SGB269	1	2.49E-40
SGB161	SGB299	1	2.49E-40
SGB171	SGB288	1	2.49E-40
SGB182	SGB188	1	2.49E-40
SGB182	SGB232	1	2.49E-40
SGB182	SGB251	1	2.49E-40
SGB182	SGB266	1	2.49E-40
SGB182	SGB282	1	2.49E-40
SGB182	SGB283	1	2.49E-40
SGB185	SGB207	1	2.49E-40
SGB185	SGB220	1	2.49E-40
SGB185	SGB257	1	2.49E-40
SGB188	SGB232	1	2.49E-40
SGB188	SGB251	1	2.49E-40
SGB188	SGB266	1	2.49E-40
SGB188	SGB282	1	2.49E-40
SGB188	SGB283	1	2.49E-40
SGB190	SGB269	1	2.49E-40
SGB190	SGB299	1	2.49E-40
SGB207	SGB220	1	2.49E-40
SGB207	SGB257	1	2.49E-40
SGB220	SGB257	1	2.49E-40
SGB232	SGB251	1	2.49E-40
SGB232	SGB266	1	2.49E-40
SGB232	SGB282	1	2.49E-40
SGB232	SGB283	1	2.49E-40
SGB251	SGB266	1	2.49E-40
SGB251	SGB282	1	2.49E-40
SGB251	SGB283	1	2.49E-40
SGB262	SGB287	1	2.49E-40
SGB262	SGB304	1	2.49E-40
SGB266	SGB282	1	2.49E-40
SGB266	SGB283	1	2.49E-40
SGB269	SGB299	1	2.49E-40
SGB282	SGB283	1	2.49E-40
SGB287	SGB304	1	2.49E-40
