tax1	tax2	correlation	p_value
SGB005	SGB017	1	0
SGB005	SGB028	1	0
SGB005	SGB033	1	0
SGB005	SGB036	1	0
SGB005	SGB064	1	0
SGB005	SGB084	1	0
SGB005	SGB085	1	0
SGB005	SGB096	1	0
SGB005	SGB147	1	0
SGB005	SGB166	1	0
SGB005	SGB179	1	0
SGB005	SGB194	1	0
SGB005	SGB211	1	0
SGB005	SGB221	1	0
SGB005	SGB231	1	0
SGB005	SGB236	1	0
SGB005	SGB238	1	0
SGB005	SGB240	1	0
SGB005	SGB249	1	0
SGB005	SGB262	1	0
SGB005	SGB286	1	0
SGB005	SGB291	1	0
SGB017	SGB028	1	0
SGB017	SGB033	1	0
SGB017	SGB036	1	0
SGB017	SGB064	1	0
SGB017	SGB084	1	0
SGB017	SGB085	1	0
SGB017	SGB096	1	0
SGB017	SGB147	1	0
SGB017	SGB166	1	0
SGB017	SGB179	1	0
SGB017	SGB194	1	0
SGB017	SGB211	1	0
SGB017	SGB221	1	0
SGB017	SGB231	1	0
SGB017	SGB236	1	0
SGB017	SGB238	1	0
SGB017	SGB240	1	0
SGB017	SGB249	1	0
SGB017	SGB262	1	0
SGB017	SGB286	1	0
SGB017	SGB291	1	0
SGB028	SGB033	1	0
SGB028	SGB036	1	0
SGB028	SGB064	1	0
SGB028	SGB084	1	0
SGB028	SGB085	1	0
SGB028	SGB096	1	0
SGB028	SGB147	1	0
SGB028	SGB166	1	0
SGB028	SGB179	1	0
SGB028	SGB194	1	0
SGB028	SGB211	1	0
SGB028	SGB221	1	0
SGB028	SGB231	1	0
SGB028	SGB236	1	0
SGB028	SGB238	1	0
SGB028	SGB240	1	0
SGB028	SGB249	1	0
SGB028	SGB262	1	0
SGB028	SGB286	1	0
SGB028	SGB291	1	0
SGB033	SGB036	1	0
SGB033	SGB064	1	0
SGB033	SGB084	1	0
SGB033	SGB085	1	0
SGB033	SGB096	1	0
SGB033	SGB147	1	0
SGB033	SGB166	1	0
SGB033	SGB179	1	0
SGB033	SGB194	1	0
SGB033	SGB211	1	0
SGB033	SGB221	1	0
SGB033	SGB231	1	0
SGB033	SGB236	1	0
SGB033	SGB238	1	0
SGB033	SGB240	1	0
SGB033	SGB249	1	0
SGB033	SGB262	1	0
SGB033	SGB286	1	0
SGB033	SGB291	1	0
SGB035	SGB220	0.908999231	0.00068412
SGB036	SGB064	1	0
SGB036	SGB084	1	0
SGB036	SGB085	1	0
SGB036	SGB096	1	0
SGB036	SGB147	1	0
SGB036	SGB166	1	0
SGB036	SGB179	1	0
SGB036	SGB194	1	0
SGB036	SGB211	1	0
SGB036	SGB221	1	0
SGB036	SGB231	1	0
SGB036	SGB236	1	0
SGB036	SGB238	1	0
SGB036	SGB240	1	0
SGB036	SGB249	1	0
SGB036	SGB262	1	0
SGB036	SGB286	1	0
SGB036	SGB291	1	0
SGB039	SGB042	0.929411765	0.00028702
SGB054	SGB154	0.916698497	0.000505958
SGB054	SGB266	0.934393337	0.000223266
SGB055	SGB114	1	0
SGB055	SGB117	1	0
SGB055	SGB177	1	0
SGB056	SGB157	1	0
SGB056	SGB184	0.96875	0.0000172
SGB056	SGB290	1	0
SGB062	SGB200	0.976470588	0.00000643
SGB062	SGB202	0.976470588	0.00000643
SGB064	SGB084	1	0
SGB064	SGB085	1	0
SGB064	SGB096	1	0
SGB064	SGB147	1	0
SGB064	SGB166	1	0
SGB064	SGB179	1	0
SGB064	SGB194	1	0
SGB064	SGB211	1	0
SGB064	SGB221	1	0
SGB064	SGB231	1	0
SGB064	SGB236	1	0
SGB064	SGB238	1	0
SGB064	SGB240	1	0
SGB064	SGB249	1	0
SGB064	SGB262	1	0
SGB064	SGB286	1	0
SGB064	SGB291	1	0
SGB069	SGB129	1	0
SGB069	SGB196	1	0
SGB069	SGB254	1	0
SGB069	SGB282	1	0
SGB069	SGB299	1	0
SGB073	SGB155	0.902973146	0.000851066
SGB075	SGB251	1	0
SGB080	SGB136	0.957427108	0.0000503
SGB084	SGB085	1	0
SGB084	SGB096	1	0
SGB084	SGB147	1	0
SGB084	SGB166	1	0
SGB084	SGB179	1	0
SGB084	SGB194	1	0
SGB084	SGB211	1	0
SGB084	SGB221	1	0
SGB084	SGB231	1	0
SGB084	SGB236	1	0
SGB084	SGB238	1	0
SGB084	SGB240	1	0
SGB084	SGB249	1	0
SGB084	SGB262	1	0
SGB084	SGB286	1	0
SGB084	SGB291	1	0
SGB085	SGB096	1	0
SGB085	SGB147	1	0
SGB085	SGB166	1	0
SGB085	SGB179	1	0
SGB085	SGB194	1	0
SGB085	SGB211	1	0
SGB085	SGB221	1	0
SGB085	SGB231	1	0
SGB085	SGB236	1	0
SGB085	SGB238	1	0
SGB085	SGB240	1	0
SGB085	SGB249	1	0
SGB085	SGB262	1	0
SGB085	SGB286	1	0
SGB085	SGB291	1	0
SGB086	SGB161	1	0
SGB086	SGB209	0.96875	0.0000172
SGB094	SGB111	0.96875	0.0000172
SGB094	SGB112	0.96875	0.0000172
SGB094	SGB190	0.96875	0.0000172
SGB096	SGB147	1	0
SGB096	SGB166	1	0
SGB096	SGB179	1	0
SGB096	SGB194	1	0
SGB096	SGB211	1	0
SGB096	SGB221	1	0
SGB096	SGB231	1	0
SGB096	SGB236	1	0
SGB096	SGB238	1	0
SGB096	SGB240	1	0
SGB096	SGB249	1	0
SGB096	SGB262	1	0
SGB096	SGB286	1	0
SGB096	SGB291	1	0
SGB100	SGB128	1	0
SGB100	SGB182	1	0
SGB100	SGB213	1	0
SGB100	SGB226	1	0
SGB108	SGB145	0.934393337	0.000223266
SGB108	SGB149	0.94	0.000164232
SGB111	SGB112	1	0
SGB111	SGB190	1	0
SGB112	SGB190	1	0
SGB113	SGB222	0.932337317	0.000248221
SGB114	SGB117	1	0
SGB114	SGB177	1	0
SGB117	SGB177	1	0
SGB128	SGB182	1	0
SGB128	SGB213	1	0
SGB128	SGB226	1	0
SGB129	SGB196	1	0
SGB129	SGB254	1	0
SGB129	SGB282	1	0
SGB129	SGB299	1	0
SGB134	SGB304	1	0
SGB138	SGB153	0.9	0.000943062
SGB138	SGB155	0.898434142	0.000994195
SGB141	SGB171	1	0
SGB141	SGB296	1	0
SGB142	SGB170	0.916666667	0.000506619
SGB143	SGB153	0.916666667	0.000506619
SGB144	SGB162	0.908999231	0.00068412
SGB147	SGB166	1	0
SGB147	SGB179	1	0
SGB147	SGB194	1	0
SGB147	SGB211	1	0
SGB147	SGB221	1	0
SGB147	SGB231	1	0
SGB147	SGB236	1	0
SGB147	SGB238	1	0
SGB147	SGB240	1	0
SGB147	SGB249	1	0
SGB147	SGB262	1	0
SGB147	SGB286	1	0
SGB147	SGB291	1	0
SGB154	SGB266	0.900258854	0.00093479
SGB157	SGB184	0.96875	0.0000172
SGB157	SGB290	1	0
SGB161	SGB209	0.96875	0.0000172
SGB166	SGB179	1	0
SGB166	SGB194	1	0
SGB166	SGB211	1	0
SGB166	SGB221	1	0
SGB166	SGB231	1	0
SGB166	SGB236	1	0
SGB166	SGB238	1	0
SGB166	SGB240	1	0
SGB166	SGB249	1	0
SGB166	SGB262	1	0
SGB166	SGB286	1	0
SGB166	SGB291	1	0
SGB171	SGB296	1	0
SGB179	SGB194	1	0
SGB179	SGB211	1	0
SGB179	SGB221	1	0
SGB179	SGB231	1	0
SGB179	SGB236	1	0
SGB179	SGB238	1	0
SGB179	SGB240	1	0
SGB179	SGB249	1	0
SGB179	SGB262	1	0
SGB179	SGB286	1	0
SGB179	SGB291	1	0
SGB182	SGB213	1	0
SGB182	SGB226	1	0
SGB184	SGB290	0.96875	0.0000172
SGB194	SGB211	1	0
SGB194	SGB221	1	0
SGB194	SGB231	1	0
SGB194	SGB236	1	0
SGB194	SGB238	1	0
SGB194	SGB240	1	0
SGB194	SGB249	1	0
SGB194	SGB262	1	0
SGB194	SGB286	1	0
SGB194	SGB291	1	0
SGB196	SGB254	1	0
SGB196	SGB282	1	0
SGB196	SGB299	1	0
SGB200	SGB202	0.929411765	0.00028702
SGB211	SGB221	1	0
SGB211	SGB231	1	0
SGB211	SGB236	1	0
SGB211	SGB238	1	0
SGB211	SGB240	1	0
SGB211	SGB249	1	0
SGB211	SGB262	1	0
SGB211	SGB286	1	0
SGB211	SGB291	1	0
SGB213	SGB226	1	0
SGB220	SGB266	0.909090909	0.000681773
SGB221	SGB231	1	0
SGB221	SGB236	1	0
SGB221	SGB238	1	0
SGB221	SGB240	1	0
SGB221	SGB249	1	0
SGB221	SGB262	1	0
SGB221	SGB286	1	0
SGB221	SGB291	1	0
SGB229	SGB283	0.96875	0.0000172
SGB231	SGB236	1	0
SGB231	SGB238	1	0
SGB231	SGB240	1	0
SGB231	SGB249	1	0
SGB231	SGB262	1	0
SGB231	SGB286	1	0
SGB231	SGB291	1	0
SGB236	SGB238	1	0
SGB236	SGB240	1	0
SGB236	SGB249	1	0
SGB236	SGB262	1	0
SGB236	SGB286	1	0
SGB236	SGB291	1	0
SGB238	SGB240	1	0
SGB238	SGB249	1	0
SGB238	SGB262	1	0
SGB238	SGB286	1	0
SGB238	SGB291	1	0
SGB240	SGB249	1	0
SGB240	SGB262	1	0
SGB240	SGB286	1	0
SGB240	SGB291	1	0
SGB249	SGB262	1	0
SGB249	SGB286	1	0
SGB249	SGB291	1	0
SGB254	SGB282	1	0
SGB254	SGB299	1	0
SGB262	SGB286	1	0
SGB262	SGB291	1	0
SGB282	SGB299	1	0
SGB286	SGB291	1	0
