tax1	tax2	correlation	p_value
SGB001	SGB011	1	2.74E-47
SGB001	SGB132	1	2.74E-47
SGB001	SGB139	1	2.74E-47
SGB001	SGB179	1	2.74E-47
SGB001	SGB216	1	2.74E-47
SGB001	SGB275	1	2.74E-47
SGB003	SGB260	0.96875	7.45E-05
SGB004	SGB102	0.957217353	0.000189541
SGB005	SGB240	-0.951502571	0.000274893
SGB006	SGB041	1	2.74E-47
SGB006	SGB083	1	2.74E-47
SGB006	SGB115	1	2.74E-47
SGB006	SGB128	1	2.74E-47
SGB006	SGB211	1	2.74E-47
SGB006	SGB288	1	2.74E-47
SGB007	SGB008	1	0
SGB011	SGB132	1	2.74E-47
SGB011	SGB139	1	2.74E-47
SGB011	SGB179	1	2.74E-47
SGB011	SGB216	1	2.74E-47
SGB011	SGB275	1	2.74E-47
SGB012	SGB037	1	2.74E-47
SGB012	SGB191	1	2.74E-47
SGB012	SGB268	1	2.74E-47
SGB013	SGB102	-0.95	0.000300898
SGB015	SGB307	0.96875	7.45E-05
SGB019	SGB173	1	2.74E-47
SGB019	SGB184	0.96875	7.45E-05
SGB021	SGB069	0.959183673	0.000164836
SGB021	SGB215	1	0
SGB021	SGB298	0.959183673	0.000164836
SGB025	SGB056	0.959183673	0.000164836
SGB025	SGB064	1	0
SGB025	SGB292	1	0
SGB026	SGB150	0.935775441	0.000630791
SGB032	SGB272	0.96875	7.45E-05
SGB036	SGB104	0.959183673	0.000164836
SGB036	SGB226	1	0
SGB036	SGB257	0.959183673	0.000164836
SGB037	SGB191	1	2.74E-47
SGB037	SGB268	1	2.74E-47
SGB039	SGB171	0.92998111	0.000813758
SGB041	SGB083	1	2.74E-47
SGB041	SGB115	1	2.74E-47
SGB041	SGB128	1	2.74E-47
SGB041	SGB211	1	2.74E-47
SGB041	SGB288	1	2.74E-47
SGB044	SGB062	0.946124747	0.000375312
SGB044	SGB171	0.944227867	0.000415763
SGB045	SGB267	0.935775441	0.000630791
SGB050	SGB141	1	2.74E-47
SGB050	SGB160	1	2.74E-47
SGB050	SGB182	1	2.74E-47
SGB050	SGB187	1	2.74E-47
SGB050	SGB206	1	2.74E-47
SGB050	SGB227	1	2.74E-47
SGB050	SGB259	1	2.74E-47
SGB050	SGB264	1	2.74E-47
SGB050	SGB284	1	2.74E-47
SGB050	SGB285	1	2.74E-47
SGB050	SGB287	1	2.74E-47
SGB052	SGB253	0.959183673	0.000164836
SGB053	SGB055	1	2.74E-47
SGB053	SGB100	1	2.74E-47
SGB053	SGB156	1	2.74E-47
SGB053	SGB174	1	2.74E-47
SGB053	SGB230	1	2.74E-47
SGB055	SGB100	1	2.74E-47
SGB055	SGB156	1	2.74E-47
SGB055	SGB174	1	2.74E-47
SGB055	SGB230	1	2.74E-47
SGB056	SGB064	0.959183673	0.000164836
SGB056	SGB292	0.959183673	0.000164836
SGB064	SGB292	1	0
SGB069	SGB215	0.959183673	0.000164836
SGB069	SGB298	1	0
SGB070	SGB162	-0.938590635	0.000552616
SGB071	SGB094	0.959183673	0.000164836
SGB073	SGB169	0.952380952	0.0002604
SGB075	SGB152	0.952380952	0.0002604
SGB081	SGB138	0.928571429	0.000862968
SGB083	SGB115	1	2.74E-47
SGB083	SGB128	1	2.74E-47
SGB083	SGB211	1	2.74E-47
SGB083	SGB288	1	2.74E-47
SGB084	SGB214	1	0
SGB087	SGB243	0.959183673	0.000164836
SGB088	SGB112	0.959183673	0.000164836
SGB090	SGB168	-0.938590635	0.000552616
SGB097	SGB134	0.944227867	0.000415763
SGB098	SGB099	0.959183673	0.000164836
SGB098	SGB212	0.959183673	0.000164836
SGB098	SGB265	0.959183673	0.000164836
SGB099	SGB212	1	0
SGB099	SGB265	1	0
SGB100	SGB156	1	2.74E-47
SGB100	SGB174	1	2.74E-47
SGB100	SGB230	1	2.74E-47
SGB101	SGB266	0.928571429	0.000862968
SGB102	SGB305	0.961769203	0.00013572
SGB104	SGB226	0.959183673	0.000164836
SGB104	SGB257	1	0
SGB105	SGB134	0.92998111	0.000813758
SGB105	SGB135	0.96875	7.45E-05
SGB105	SGB294	1	2.74E-47
SGB106	SGB170	0.928571429	0.000862968
SGB106	SGB231	0.951502571	0.000274893
SGB108	SGB184	0.96875	7.45E-05
SGB115	SGB128	1	2.74E-47
SGB115	SGB211	1	2.74E-47
SGB115	SGB288	1	2.74E-47
SGB120	SGB127	0.96875	7.45E-05
SGB122	SGB129	1	2.74E-47
SGB122	SGB146	1	2.74E-47
SGB122	SGB148	1	2.74E-47
SGB122	SGB151	1	2.74E-47
SGB122	SGB172	1	2.74E-47
SGB122	SGB198	1	2.74E-47
SGB122	SGB245	1	2.74E-47
SGB124	SGB306	0.92998111	0.000813758
SGB128	SGB211	1	2.74E-47
SGB128	SGB288	1	2.74E-47
SGB129	SGB146	1	2.74E-47
SGB129	SGB148	1	2.74E-47
SGB129	SGB151	1	2.74E-47
SGB129	SGB172	1	2.74E-47
SGB129	SGB198	1	2.74E-47
SGB129	SGB245	1	2.74E-47
SGB132	SGB139	1	2.74E-47
SGB132	SGB179	1	2.74E-47
SGB132	SGB216	1	2.74E-47
SGB132	SGB275	1	2.74E-47
SGB134	SGB294	0.92998111	0.000813758
SGB135	SGB294	0.96875	7.45E-05
SGB139	SGB179	1	2.74E-47
SGB139	SGB216	1	2.74E-47
SGB139	SGB275	1	2.74E-47
SGB141	SGB160	1	2.74E-47
SGB141	SGB182	1	2.74E-47
SGB141	SGB187	1	2.74E-47
SGB141	SGB206	1	2.74E-47
SGB141	SGB227	1	2.74E-47
SGB141	SGB259	1	2.74E-47
SGB141	SGB264	1	2.74E-47
SGB141	SGB284	1	2.74E-47
SGB141	SGB285	1	2.74E-47
SGB141	SGB287	1	2.74E-47
SGB146	SGB148	1	2.74E-47
SGB146	SGB151	1	2.74E-47
SGB146	SGB172	1	2.74E-47
SGB146	SGB198	1	2.74E-47
SGB146	SGB245	1	2.74E-47
SGB147	SGB153	0.952380952	0.0002604
SGB148	SGB151	1	2.74E-47
SGB148	SGB172	1	2.74E-47
SGB148	SGB198	1	2.74E-47
SGB148	SGB245	1	2.74E-47
SGB149	SGB154	0.976190476	3.31E-05
SGB151	SGB172	1	2.74E-47
SGB151	SGB198	1	2.74E-47
SGB151	SGB245	1	2.74E-47
SGB156	SGB174	1	2.74E-47
SGB156	SGB230	1	2.74E-47
SGB159	SGB185	1	2.74E-47
SGB159	SGB234	1	2.74E-47
SGB159	SGB254	1	2.74E-47
SGB160	SGB182	1	2.74E-47
SGB160	SGB187	1	2.74E-47
SGB160	SGB206	1	2.74E-47
SGB160	SGB227	1	2.74E-47
SGB160	SGB259	1	2.74E-47
SGB160	SGB264	1	2.74E-47
SGB160	SGB284	1	2.74E-47
SGB160	SGB285	1	2.74E-47
SGB160	SGB287	1	2.74E-47
SGB161	SGB293	0.970077272	6.55E-05
SGB162	SGB256	0.938590635	0.000552616
SGB172	SGB198	1	2.74E-47
SGB172	SGB245	1	2.74E-47
SGB173	SGB184	0.96875	7.45E-05
SGB174	SGB230	1	2.74E-47
SGB177	SGB295	1	2.74E-47
SGB177	SGB299	1	2.74E-47
SGB177	SGB300	1	2.74E-47
SGB179	SGB216	1	2.74E-47
SGB179	SGB275	1	2.74E-47
SGB182	SGB187	1	2.74E-47
SGB182	SGB206	1	2.74E-47
SGB182	SGB227	1	2.74E-47
SGB182	SGB259	1	2.74E-47
SGB182	SGB264	1	2.74E-47
SGB182	SGB284	1	2.74E-47
SGB182	SGB285	1	2.74E-47
SGB182	SGB287	1	2.74E-47
SGB185	SGB234	1	2.74E-47
SGB185	SGB254	1	2.74E-47
SGB187	SGB206	1	2.74E-47
SGB187	SGB227	1	2.74E-47
SGB187	SGB259	1	2.74E-47
SGB187	SGB264	1	2.74E-47
SGB187	SGB284	1	2.74E-47
SGB187	SGB285	1	2.74E-47
SGB187	SGB287	1	2.74E-47
SGB190	SGB262	1	0
SGB191	SGB268	1	2.74E-47
SGB193	SGB270	0.92998111	0.000813758
SGB198	SGB245	1	2.74E-47
SGB206	SGB227	1	2.74E-47
SGB206	SGB259	1	2.74E-47
SGB206	SGB264	1	2.74E-47
SGB206	SGB284	1	2.74E-47
SGB206	SGB285	1	2.74E-47
SGB206	SGB287	1	2.74E-47
SGB211	SGB288	1	2.74E-47
SGB212	SGB265	1	0
SGB215	SGB298	0.959183673	0.000164836
SGB216	SGB275	1	2.74E-47
SGB226	SGB257	0.959183673	0.000164836
SGB227	SGB259	1	2.74E-47
SGB227	SGB264	1	2.74E-47
SGB227	SGB284	1	2.74E-47
SGB227	SGB285	1	2.74E-47
SGB227	SGB287	1	2.74E-47
SGB234	SGB254	1	2.74E-47
SGB250	SGB297	0.975	3.83E-05
SGB259	SGB264	1	2.74E-47
SGB259	SGB284	1	2.74E-47
SGB259	SGB285	1	2.74E-47
SGB259	SGB287	1	2.74E-47
SGB264	SGB284	1	2.74E-47
SGB264	SGB285	1	2.74E-47
SGB264	SGB287	1	2.74E-47
SGB284	SGB285	1	2.74E-47
SGB284	SGB287	1	2.74E-47
SGB285	SGB287	1	2.74E-47
SGB295	SGB299	1	2.74E-47
SGB295	SGB300	1	2.74E-47
SGB299	SGB300	1	2.74E-47
