tax1	tax2	correlation	p_value
SGB003	SGB027	1	0
SGB003	SGB029	1	0
SGB003	SGB031	1	0
SGB003	SGB125	1	0
SGB003	SGB186	1	0
SGB003	SGB252	1	0
SGB004	SGB202	-0.920678501	0.000427985
SGB004	SGB244	0.938383857	0.000179954
SGB007	SGB100	1	0
SGB007	SGB283	1	0
SGB015	SGB055	1	0
SGB015	SGB104	1	0
SGB015	SGB189	0.96875	0.0000172
SGB015	SGB282	0.96875	0.0000172
SGB015	SGB300	1	0
SGB016	SGB258	0.94	0.000164232
SGB018	SGB194	-0.922611577	0.000393338
SGB022	SGB034	0.916666667	0.000506619
SGB025	SGB204	0.929411765	0.00028702
SGB027	SGB029	1	0
SGB027	SGB031	1	0
SGB027	SGB125	1	0
SGB027	SGB186	1	0
SGB027	SGB252	1	0
SGB028	SGB190	-0.933333333	0.0002359
SGB029	SGB031	1	0
SGB029	SGB125	1	0
SGB029	SGB186	1	0
SGB029	SGB252	1	0
SGB031	SGB125	1	0
SGB031	SGB186	1	0
SGB031	SGB252	1	0
SGB036	SGB089	1	0
SGB036	SGB140	1	0
SGB037	SGB205	1	0
SGB041	SGB072	0.96875	0.0000172
SGB041	SGB245	1	0
SGB043	SGB144	0.9	0.000943062
SGB046	SGB174	1	0
SGB046	SGB176	1	0
SGB049	SGB109	0.9	0.000943062
SGB050	SGB292	0.96875	0.0000172
SGB053	SGB071	1	0
SGB055	SGB104	1	0
SGB055	SGB189	0.96875	0.0000172
SGB055	SGB282	0.96875	0.0000172
SGB055	SGB300	1	0
SGB061	SGB064	0.912870929	0.000589839
SGB061	SGB149	0.96235152	0.0000329
SGB064	SGB088	0.921954446	0.000404887
SGB064	SGB149	0.898364527	0.000996512
SGB064	SGB160	0.928476691	0.000300269
SGB066	SGB078	1	0
SGB066	SGB182	1	0
SGB066	SGB216	1	0
SGB066	SGB226	1	0
SGB072	SGB245	0.96875	0.0000172
SGB075	SGB221	0.905203811	0.000786294
SGB078	SGB182	1	0
SGB078	SGB216	1	0
SGB078	SGB226	1	0
SGB083	SGB190	0.898434142	0.000994195
SGB084	SGB133	0.96875	0.0000172
SGB084	SGB148	0.96875	0.0000172
SGB089	SGB140	1	0
SGB090	SGB099	0.96875	0.0000172
SGB090	SGB159	0.96875	0.0000172
SGB090	SGB260	0.96875	0.0000172
SGB091	SGB297	0.945454545	0.000118286
SGB093	SGB122	0.921954446	0.000404887
SGB094	SGB098	1	0
SGB094	SGB243	1	0
SGB094	SGB277	1	0
SGB097	SGB236	0.916698497	0.000505958
SGB098	SGB243	1	0
SGB098	SGB277	1	0
SGB099	SGB159	1	0
SGB099	SGB260	1	0
SGB100	SGB283	1	0
SGB102	SGB298	1	0
SGB104	SGB189	0.96875	0.0000172
SGB104	SGB282	0.96875	0.0000172
SGB104	SGB300	1	0
SGB105	SGB185	0.9002614	0.000934709
SGB108	SGB284	0.96875	0.0000172
SGB108	SGB301	1	0
SGB111	SGB220	0.956089213	0.000056
SGB112	SGB128	1	0
SGB112	SGB177	1	0
SGB112	SGB215	1	0
SGB112	SGB223	1	0
SGB112	SGB234	1	0
SGB112	SGB259	1	0
SGB112	SGB299	1	0
SGB112	SGB307	1	0
SGB113	SGB303	0.933333333	0.0002359
SGB124	SGB304	1	0
SGB125	SGB186	1	0
SGB125	SGB252	1	0
SGB128	SGB177	1	0
SGB128	SGB215	1	0
SGB128	SGB223	1	0
SGB128	SGB234	1	0
SGB128	SGB259	1	0
SGB128	SGB299	1	0
SGB128	SGB307	1	0
SGB129	SGB217	0.921954446	0.000404887
SGB129	SGB268	0.976470588	0.00000643
SGB133	SGB148	1	0
SGB136	SGB138	0.916666667	0.000506619
SGB143	SGB160	0.936246506	0.000202335
SGB145	SGB155	1	0
SGB145	SGB179	1	0
SGB145	SGB188	1	0
SGB145	SGB212	1	0
SGB145	SGB225	1	0
SGB145	SGB227	1	0
SGB145	SGB287	1	0
SGB146	SGB173	1	0
SGB146	SGB198	1	0
SGB155	SGB179	1	0
SGB155	SGB188	1	0
SGB155	SGB212	1	0
SGB155	SGB225	1	0
SGB155	SGB227	1	0
SGB155	SGB287	1	0
SGB156	SGB241	0.96875	0.0000172
SGB159	SGB260	1	0
SGB164	SGB199	-0.9	0.000943062
SGB165	SGB183	0.905882353	0.000767294
SGB171	SGB219	0.91538573	0.000533717
SGB172	SGB244	0.909907157	0.00066113
SGB172	SGB305	0.921954446	0.000404887
SGB173	SGB198	1	0
SGB174	SGB176	1	0
SGB177	SGB215	1	0
SGB177	SGB223	1	0
SGB177	SGB234	1	0
SGB177	SGB259	1	0
SGB177	SGB299	1	0
SGB177	SGB307	1	0
SGB179	SGB188	1	0
SGB179	SGB212	1	0
SGB179	SGB225	1	0
SGB179	SGB227	1	0
SGB179	SGB287	1	0
SGB182	SGB216	1	0
SGB182	SGB226	1	0
SGB186	SGB252	1	0
SGB188	SGB212	1	0
SGB188	SGB225	1	0
SGB188	SGB227	1	0
SGB188	SGB287	1	0
SGB189	SGB282	1	0
SGB189	SGB300	0.96875	0.0000172
SGB196	SGB251	1	0
SGB202	SGB244	-0.931034483	0.000265011
SGB212	SGB225	1	0
SGB212	SGB227	1	0
SGB212	SGB287	1	0
SGB215	SGB223	1	0
SGB215	SGB234	1	0
SGB215	SGB259	1	0
SGB215	SGB299	1	0
SGB215	SGB307	1	0
SGB216	SGB226	1	0
SGB217	SGB219	-0.912870929	0.000589839
SGB217	SGB268	0.9002614	0.000934709
SGB219	SGB232	-0.933333333	0.0002359
SGB223	SGB234	1	0
SGB223	SGB259	1	0
SGB223	SGB299	1	0
SGB223	SGB307	1	0
SGB224	SGB272	0.94	0.000164232
SGB225	SGB227	1	0
SGB225	SGB287	1	0
SGB227	SGB287	1	0
SGB229	SGB240	-0.933333333	0.0002359
SGB234	SGB259	1	0
SGB234	SGB299	1	0
SGB234	SGB307	1	0
SGB243	SGB277	1	0
SGB254	SGB289	0.96875	0.0000172
SGB257	SGB285	0.9002614	0.000934709
SGB259	SGB299	1	0
SGB259	SGB307	1	0
SGB263	SGB280	0.96875	0.0000172
SGB281	SGB305	0.929411765	0.00028702
SGB282	SGB300	0.96875	0.0000172
SGB284	SGB301	0.96875	0.0000172
SGB285	SGB294	0.976470588	0.00000643
SGB299	SGB307	1	0
SGB302	SGB306	0.905203811	0.000786294
