tax1	tax2	correlation	p_value
SGB003	SGB088	1	0
SGB003	SGB141	1	0
SGB003	SGB206	1	0
SGB007	SGB015	1	0
SGB007	SGB145	1	0
SGB007	SGB151	1	0
SGB007	SGB179	1	0
SGB007	SGB181	1	0
SGB007	SGB226	1	0
SGB007	SGB298	1	0
SGB015	SGB145	1	0
SGB015	SGB151	1	0
SGB015	SGB179	1	0
SGB015	SGB181	1	0
SGB015	SGB226	1	0
SGB015	SGB298	1	0
SGB021	SGB177	1	0
SGB021	SGB237	1	0
SGB037	SGB128	1	0
SGB037	SGB267	1	0
SGB037	SGB279	1	0
SGB037	SGB300	1	0
SGB041	SGB277	1	0
SGB050	SGB112	1	0
SGB063	SGB223	1	0
SGB072	SGB187	1	0
SGB074	SGB216	1	0
SGB088	SGB141	1	0
SGB088	SGB206	1	0
SGB096	SGB159	1	0
SGB096	SGB188	1	0
SGB096	SGB304	1	0
SGB122	SGB163	1	0
SGB122	SGB251	1	0
SGB122	SGB260	1	0
SGB128	SGB267	1	0
SGB128	SGB279	1	0
SGB128	SGB300	1	0
SGB141	SGB206	1	0
SGB145	SGB151	1	0
SGB145	SGB179	1	0
SGB145	SGB181	1	0
SGB145	SGB226	1	0
SGB145	SGB298	1	0
SGB151	SGB179	1	0
SGB151	SGB181	1	0
SGB151	SGB226	1	0
SGB151	SGB298	1	0
SGB159	SGB188	1	0
SGB159	SGB304	1	0
SGB163	SGB251	1	0
SGB163	SGB260	1	0
SGB177	SGB237	1	0
SGB179	SGB181	1	0
SGB179	SGB226	1	0
SGB179	SGB298	1	0
SGB181	SGB226	1	0
SGB181	SGB298	1	0
SGB188	SGB304	1	0
SGB196	SGB254	1	0
SGB205	SGB271	1	0
SGB226	SGB298	1	0
SGB251	SGB260	1	0
SGB267	SGB279	1	0
SGB267	SGB300	1	0
SGB279	SGB300	1	0
SGB108	SGB116	0.987951807	1.96E-09
SGB014	SGB185	0.983471074	9.45E-09
SGB089	SGB176	0.983471074	9.45E-09
SGB212	SGB225	0.983471074	9.45E-09
SGB075	SGB194	0.944300239	3.84E-06
SGB229	SGB255	0.935202835	8.06E-06
SGB154	SGB270	0.932531979	9.82E-06
SGB036	SGB064	0.930693069	1.12E-05
SGB023	SGB080	0.921192306	2.09E-05
SGB057	SGB126	0.920792079	2.15E-05
SGB039	SGB201	0.913043478	3.38E-05
SGB004	SGB218	0.905495525	5.06E-05
SGB094	SGB125	0.895600071	8.18E-05
SGB073	SGB136	0.893171247	9.14E-05
SGB024	SGB146	0.889442637	0.000107755
SGB023	SGB168	0.886165982	0.000123989
SGB049	SGB138	0.881118881	0.000152674
SGB098	SGB106	0.877097726	0.00017904
SGB049	SGB081	0.872155453	0.000216175
SGB173	SGB281	0.866902667	0.000261965
SGB146	SGB154	0.865577662	0.000274627
SGB086	SGB175	0.863849224	0.000291855
SGB115	SGB230	0.861567255	0.000315878
SGB197	SGB199	0.858144924	0.000354759
SGB171	SGB296	0.85750786	0.00036239
SGB019	SGB278	0.855292364	0.000389927
SGB004	SGB028	-0.854378842	0.000401743
SGB014	SGB166	0.853765578	0.000409831
SGB065	SGB108	0.853765578	0.000409831
SGB071	SGB093	0.853765578	0.000409831
SGB089	SGB150	0.853765578	0.000409831
SGB139	SGB273	0.853765578	0.000409831
SGB101	SGB219	0.853146853	0.000418118
SGB019	SGB091	0.852685118	0.000424387
SGB152	SGB200	0.851139659	0.000445901
SGB042	SGB118	0.850668484	0.000452626
SGB047	SGB124	0.847031907	0.000507218
SGB067	SGB197	0.846572696	0.000514459
SGB054	SGB144	0.846153846	0.000521134
SGB119	SGB168	0.846153846	0.000521134
SGB219	SGB249	0.846153846	0.000521134
SGB022	SGB230	0.845550534	0.000530865
SGB039	SGB169	0.842183671	0.00058779
SGB130	SGB236	0.842183671	0.00058779
SGB138	SGB158	0.842183671	0.00058779
SGB008	SGB125	0.840990311	0.000609062
SGB175	SGB231	0.839774076	0.000631351
SGB104	SGB285	0.839728653	0.000632195
SGB016	SGB217	0.839653751	0.00063359
SGB050	SGB198	0.839653751	0.00063359
SGB112	SGB198	0.839653751	0.00063359
SGB150	SGB176	0.839653751	0.00063359
SGB166	SGB185	0.839653751	0.00063359
SGB172	SGB191	0.839316742	0.000639894
SGB172	SGB236	0.839316742	0.000639894
SGB013	SGB189	0.838561587	0.000654195
SGB062	SGB247	-0.834385674	0.000737803
SGB075	SGB200	0.833880851	0.000748445
SGB085	SGB149	0.832872073	0.000770065
SGB034	SGB109	0.830123865	0.000831418
SGB107	SGB233	0.830068358	0.000832695
SGB061	SGB186	0.828577426	0.000867564
SGB182	SGB201	0.826086957	0.000928312
SGB268	SGB299	0.825810498	0.000935252
SGB084	SGB250	0.824457612	0.000969796
