tax1	tax2	correlation	p_value
SGB001	SGB002	1	1.06E-62
SGB001	SGB019	1	1.06E-62
SGB001	SGB159	1	1.06E-62
SGB001	SGB248	1	1.06E-62
SGB002	SGB019	1	1.06E-62
SGB002	SGB159	1	1.06E-62
SGB002	SGB248	1	1.06E-62
SGB003	SGB025	0.953846154	0.0000188
SGB003	SGB170	0.876630082	0.000871017
SGB009	SGB017	-0.914634146	0.000209371
SGB009	SGB020	0.881463038	0.000746861
SGB011	SGB015	1	0
SGB011	SGB057	1	0
SGB011	SGB139	0.975308642	0.00000158
SGB011	SGB298	1	0
SGB013	SGB261	0.88715967	0.000617706
SGB015	SGB057	1	0
SGB015	SGB139	0.975308642	0.00000158
SGB015	SGB298	1	0
SGB016	SGB140	1	0
SGB017	SGB208	-0.898499819	0.000410149
SGB018	SGB177	1	0
SGB018	SGB191	1	0
SGB018	SGB217	0.981651376	0.000000485
SGB019	SGB159	1	1.06E-62
SGB019	SGB248	1	1.06E-62
SGB027	SGB129	1	1.06E-62
SGB027	SGB145	1	1.06E-62
SGB027	SGB179	1	1.06E-62
SGB027	SGB189	1	1.06E-62
SGB027	SGB263	1	1.06E-62
SGB030	SGB157	0.890909091	0.000542144
SGB030	SGB290	0.903030303	0.000343612
SGB032	SGB212	1	0
SGB033	SGB120	0.953863405	0.0000187
SGB033	SGB210	0.879905461	0.00078536
SGB035	SGB249	0.915151515	0.000204472
SGB036	SGB054	-0.872786048	0.000980007
SGB036	SGB303	0.911576539	0.000240107
SGB041	SGB292	0.932297012	0.0000847
SGB042	SGB113	0.903030303	0.000343612
SGB047	SGB289	-0.888198758	0.00059604
SGB048	SGB052	1	1.06E-62
SGB048	SGB071	1	1.06E-62
SGB048	SGB141	1	1.06E-62
SGB048	SGB156	1	1.06E-62
SGB048	SGB205	1	1.06E-62
SGB048	SGB239	1	1.06E-62
SGB048	SGB287	1	1.06E-62
SGB049	SGB119	0.903030303	0.000343612
SGB049	SGB138	0.903030303	0.000343612
SGB052	SGB071	1	1.06E-62
SGB052	SGB141	1	1.06E-62
SGB052	SGB156	1	1.06E-62
SGB052	SGB205	1	1.06E-62
SGB052	SGB239	1	1.06E-62
SGB052	SGB287	1	1.06E-62
SGB054	SGB202	0.878787879	0.000813862
SGB054	SGB303	-0.951515152	0.0000228
SGB055	SGB253	0.915675455	0.000199598
SGB056	SGB105	0.905226482	0.000314383
SGB057	SGB139	0.975308642	0.00000158
SGB057	SGB298	1	0
SGB063	SGB090	1	1.06E-62
SGB063	SGB116	1	1.06E-62
SGB063	SGB134	1	1.06E-62
SGB063	SGB252	1	1.06E-62
SGB064	SGB284	0.975308642	0.00000158
SGB068	SGB209	0.881680613	0.000741595
SGB069	SGB242	0.89887407	0.000404322
SGB069	SGB268	0.89887407	0.000404322
SGB069	SGB281	0.89887407	0.000404322
SGB070	SGB233	0.91581094	0.000198352
SGB071	SGB141	1	1.06E-62
SGB071	SGB156	1	1.06E-62
SGB071	SGB205	1	1.06E-62
SGB071	SGB239	1	1.06E-62
SGB071	SGB287	1	1.06E-62
SGB072	SGB096	1	1.06E-62
SGB090	SGB116	1	1.06E-62
SGB090	SGB134	1	1.06E-62
SGB090	SGB252	1	1.06E-62
SGB091	SGB222	0.911576539	0.000240107
SGB093	SGB234	0.975308642	0.00000158
SGB098	SGB260	0.944954128	0.0000376
SGB098	SGB275	0.944954128	0.0000376
SGB099	SGB121	1	1.06E-62
SGB099	SGB133	1	1.06E-62
SGB099	SGB280	1	1.06E-62
SGB099	SGB288	1	1.06E-62
SGB107	SGB196	1	1.06E-62
SGB107	SGB226	1	1.06E-62
SGB107	SGB228	1	1.06E-62
SGB108	SGB187	1	1.06E-62
SGB108	SGB235	1	1.06E-62
SGB108	SGB237	1	1.06E-62
SGB108	SGB307	1	1.06E-62
SGB116	SGB134	1	1.06E-62
SGB116	SGB252	1	1.06E-62
SGB121	SGB133	1	1.06E-62
SGB121	SGB280	1	1.06E-62
SGB121	SGB288	1	1.06E-62
SGB126	SGB272	0.975308642	0.00000158
SGB128	SGB304	1	1.06E-62
SGB129	SGB145	1	1.06E-62
SGB129	SGB179	1	1.06E-62
SGB129	SGB189	1	1.06E-62
SGB129	SGB263	1	1.06E-62
SGB130	SGB153	0.878787879	0.000813862
SGB133	SGB280	1	1.06E-62
SGB133	SGB288	1	1.06E-62
SGB134	SGB252	1	1.06E-62
SGB137	SGB246	0.87736666	0.000851188
SGB139	SGB298	0.975308642	0.00000158
SGB141	SGB156	1	1.06E-62
SGB141	SGB205	1	1.06E-62
SGB141	SGB239	1	1.06E-62
SGB141	SGB287	1	1.06E-62
SGB143	SGB210	0.888198758	0.00059604
SGB145	SGB179	1	1.06E-62
SGB145	SGB189	1	1.06E-62
SGB145	SGB263	1	1.06E-62
SGB150	SGB283	0.981651376	0.000000485
SGB156	SGB205	1	1.06E-62
SGB156	SGB239	1	1.06E-62
SGB156	SGB287	1	1.06E-62
SGB158	SGB194	0.885716212	0.000648751
SGB159	SGB248	1	1.06E-62
SGB172	SGB188	1	0
SGB174	SGB230	0.926605505	0.000116107
SGB176	SGB292	0.89587916	0.000452696
SGB177	SGB191	1	0
SGB177	SGB217	0.981651376	0.000000485
SGB179	SGB189	1	1.06E-62
SGB179	SGB263	1	1.06E-62
SGB182	SGB299	0.981651376	0.000000485
SGB183	SGB215	0.944954128	0.0000376
SGB185	SGB285	0.940522658	0.0000509
SGB187	SGB235	1	1.06E-62
SGB187	SGB237	1	1.06E-62
SGB187	SGB307	1	1.06E-62
SGB189	SGB263	1	1.06E-62
SGB191	SGB217	0.981651376	0.000000485
SGB193	SGB214	1	0
SGB196	SGB226	1	1.06E-62
SGB196	SGB228	1	1.06E-62
SGB197	SGB301	-0.898646376	0.00040786
SGB201	SGB219	0.87396959	0.00094545
SGB201	SGB249	0.87396959	0.00094545
SGB201	SGB286	-0.883478754	0.000699105
SGB205	SGB239	1	1.06E-62
SGB205	SGB287	1	1.06E-62
SGB219	SGB249	0.878787879	0.000813862
SGB226	SGB228	1	1.06E-62
SGB235	SGB237	1	1.06E-62
SGB235	SGB307	1	1.06E-62
SGB237	SGB307	1	1.06E-62
